lmax,repeat,stage,time_ms
1,7,2_convolution.denominator_ms,0.008388888090848923
1,7,top_force_output_ms,2.7518898714333773
1,7,model_total_ms,5.019277101382613
1,8,edge_length_norm_ms,0.014899997040629387
1,8,radial_basis_ms,0.029831193387508392
1,8,cutoff_ms,0.05340692587196827
1,8,radial_combine_ms,0.007704133167862892
1,8,spherical_harmonics_ms,0.07185596041381359
1,8,0_convolution.weight_nn_ms,0.07754587568342686
1,8,0_convolution.src_gather_ms,0.01119193620979786
1,8,0_convolution.message_tp_ms,0.0794620718806982
1,8,0_convolution.aggregation_ms,0.034460099413990974
1,8,0_convolution.denominator_ms,0.008152099326252937
1,8,1_convolution.weight_nn_ms,0.07494702003896236
1,8,1_convolution.src_gather_ms,0.011345138773322105
1,8,1_convolution.message_tp_ms,0.18148100934922695
1,8,1_convolution.aggregation_ms,0.03608502447605133
1,8,1_convolution.denominator_ms,0.008387025445699692
1,8,2_convolution.weight_nn_ms,0.09897281415760517
1,8,2_convolution.src_gather_ms,0.011113937944173813
1,8,2_convolution.message_tp_ms,0.09516719728708267
1,8,2_convolution.aggregation_ms,0.03657001070678234
1,8,2_convolution.denominator_ms,0.00867387279868126
1,8,top_force_output_ms,2.7707908302545547
1,8,model_total_ms,5.017300834879279
1,9,edge_length_norm_ms,0.015133991837501526
1,9,radial_basis_ms,0.030044931918382645
1,9,cutoff_ms,0.05496712401509285
1,9,radial_combine_ms,0.007976079359650612
1,9,spherical_harmonics_ms,0.09829294867813587
1,9,0_convolution.weight_nn_ms,0.0952139962464571
1,9,0_convolution.src_gather_ms,0.011228024959564209
1,9,0_convolution.message_tp_ms,0.08068210445344448
1,9,0_convolution.aggregation_ms,0.0352710485458374
1,9,0_convolution.denominator_ms,0.008472008630633354
1,9,1_convolution.weight_nn_ms,0.07438287138938904
1,9,1_convolution.src_gather_ms,0.01099705696105957
1,9,1_convolution.message_tp_ms,0.18314598128199577
1,9,1_convolution.aggregation_ms,0.036319950595498085
1,9,1_convolution.denominator_ms,0.008798204362392426
1,9,2_convolution.weight_nn_ms,0.07399404421448708
1,9,2_convolution.src_gather_ms,0.011553987860679626
1,9,2_convolution.message_tp_ms,0.09610806591808796
1,9,2_convolution.aggregation_ms,0.039866892620921135
1,9,2_convolution.denominator_ms,0.00889413058757782
1,9,top_force_output_ms,2.669511130079627
1,9,model_total_ms,4.961387952789664
1,10,edge_length_norm_ms,0.015311874449253082
1,10,radial_basis_ms,0.029972055926918983
1,10,cutoff_ms,0.05445792339742184
1,10,radial_combine_ms,0.007811933755874634
1,10,spherical_harmonics_ms,0.07149600423872471
1,10,0_convolution.weight_nn_ms,0.07673981599509716
1,10,0_convolution.src_gather_ms,0.011142110452055931
1,10,0_convolution.message_tp_ms,0.07968512363731861
1,10,0_convolution.aggregation_ms,0.03487500362098217
1,10,0_convolution.denominator_ms,0.008565839380025864
1,10,1_convolution.weight_nn_ms,0.07360102608799934
1,10,1_convolution.src_gather_ms,0.011193100363016129
1,10,1_convolution.message_tp_ms,0.18234597519040108
1,10,1_convolution.aggregation_ms,0.03658491186797619
1,10,1_convolution.denominator_ms,0.008999835699796677
1,10,2_convolution.weight_nn_ms,0.0734119676053524
1,10,2_convolution.src_gather_ms,0.011023133993148804
1,10,2_convolution.message_tp_ms,0.0932400580495596
1,10,2_convolution.aggregation_ms,0.03393390215933323
1,10,2_convolution.denominator_ms,0.008591916412115097
1,10,top_force_output_ms,2.669753972440958
1,10,model_total_ms,4.895210964605212
1,11,edge_length_norm_ms,0.015230849385261536
1,11,radial_basis_ms,0.030108029022812843
1,11,cutoff_ms,0.05445699207484722
1,11,radial_combine_ms,0.007816124707460403
1,11,spherical_harmonics_ms,0.07235188968479633
1,11,0_convolution.weight_nn_ms,0.0761551782488823
1,11,0_convolution.src_gather_ms,0.011519994586706161
1,11,0_convolution.message_tp_ms,0.08082808926701546
1,11,0_convolution.aggregation_ms,0.0353250652551651
1,11,0_convolution.denominator_ms,0.008218921720981598
1,11,1_convolution.weight_nn_ms,0.08829589933156967
1,11,1_convolution.src_gather_ms,0.011052004992961884
1,11,1_convolution.message_tp_ms,0.18316600471735
1,11,1_convolution.aggregation_ms,0.03518909215927124
1,11,1_convolution.denominator_ms,0.008546048775315285
1,11,2_convolution.weight_nn_ms,0.07228599861264229
1,11,2_convolution.src_gather_ms,0.010911142453551292
1,11,2_convolution.message_tp_ms,0.09386520832777023
1,11,2_convolution.aggregation_ms,0.034153927117586136
1,11,2_convolution.denominator_ms,0.009315786883234978
1,11,top_force_output_ms,2.7087710332125425
1,11,model_total_ms,4.9969048704952
1,12,edge_length_norm_ms,0.015288125723600388
1,12,radial_basis_ms,0.029793009161949158
1,12,cutoff_ms,0.054200179874897
1,12,radial_combine_ms,0.007672002539038658
1,12,spherical_harmonics_ms,0.07199612446129322
1,12,0_convolution.weight_nn_ms,0.07591396570205688
1,12,0_convolution.src_gather_ms,0.010862015187740326
1,12,0_convolution.message_tp_ms,0.0790259800851345
1,12,0_convolution.aggregation_ms,0.03403401933610439
1,12,0_convolution.denominator_ms,0.008044065907597542
1,12,1_convolution.weight_nn_ms,0.08897297084331512
1,12,1_convolution.src_gather_ms,0.0109898392111063
1,12,1_convolution.message_tp_ms,0.17944909632205963
1,12,1_convolution.aggregation_ms,0.03585196100175381
1,12,1_convolution.denominator_ms,0.008573988452553749
1,12,2_convolution.weight_nn_ms,0.07261615246534348
1,12,2_convolution.src_gather_ms,0.011180993169546127
1,12,2_convolution.message_tp_ms,0.09339302778244019
1,12,2_convolution.aggregation_ms,0.03403495065867901
1,12,2_convolution.denominator_ms,0.007939990609884262
1,12,top_force_output_ms,2.7397209778428078
1,12,model_total_ms,4.9907369539141655
1,13,edge_length_norm_ms,0.015324912965297699
1,13,radial_basis_ms,0.04331185482442379
1,13,cutoff_ms,0.05492009222507477
1,13,radial_combine_ms,0.010984949767589569
1,13,spherical_harmonics_ms,0.07179100066423416
1,13,0_convolution.weight_nn_ms,0.07682899013161659
1,13,0_convolution.src_gather_ms,0.011323019862174988
1,13,0_convolution.message_tp_ms,0.07917103357613087
1,13,0_convolution.aggregation_ms,0.03509898670017719
1,13,0_convolution.denominator_ms,0.008230796083807945
1,13,1_convolution.weight_nn_ms,0.07508322596549988
1,13,1_convolution.src_gather_ms,0.011457130312919617
1,13,1_convolution.message_tp_ms,0.18137297593057156
1,13,1_convolution.aggregation_ms,0.03574998117983341
