epoch,lr,trainset_Energy_RMSE,trainset_Force_RMSE,trainset_Energy_MAE,trainset_Force_MAE,trainset_TotalLoss,validset_Energy_RMSE,validset_Force_RMSE,validset_Energy_MAE,validset_Force_MAE,validset_TotalLoss,testset_Energy_RMSE,testset_Force_RMSE,testset_Energy_MAE,testset_Force_MAE,testset_TotalLoss,lmax
15,0.002261,0.002235,0.146367,0.00181,0.058396,0.000719,0.003693,0.149181,0.003478,0.058588,0.000755,0.00352,0.150861,0.003272,0.060016,0.000771,6
1,0.003,0.012552,2.182054,0.010123,0.938355,0.15887,0.011965,1.809198,0.009797,0.776109,0.10925,0.012361,1.815275,0.009684,0.785869,0.109994,7
2,0.00294,0.011924,1.023038,0.009432,0.400185,0.035029,0.007138,0.697745,0.005963,0.280244,0.016279,0.007779,0.737763,0.006475,0.287452,0.018204,7
3,0.002881,0.006266,0.539461,0.00502,0.215946,0.00974,0.007106,0.430065,0.006013,0.169466,0.006216,0.007174,0.450244,0.006089,0.174613,0.006809,7
4,0.002824,0.005817,0.378409,0.004627,0.147736,0.004807,0.005104,0.325315,0.004241,0.126956,0.003554,0.005248,0.332955,0.004328,0.129119,0.003723,7
5,0.002767,0.003558,0.292301,0.002832,0.115136,0.002861,0.0054,0.266572,0.004744,0.106852,0.002398,0.005343,0.269732,0.004555,0.107301,0.002454,7
6,0.002712,0.003293,0.244377,0.002609,0.097471,0.002002,0.002738,0.234188,0.002326,0.093812,0.001836,0.003028,0.235587,0.002503,0.094603,0.001859,7
7,0.002658,0.003201,0.2183,0.00263,0.087005,0.001599,0.001945,0.213716,0.001565,0.085089,0.001526,0.002225,0.214126,0.001798,0.08512,0.001533,7
8,0.002604,0.003817,0.198384,0.003273,0.079362,0.001326,0.002774,0.19552,0.002445,0.078846,0.001282,0.00308,0.200932,0.002676,0.080343,0.001355,7
9,0.002552,0.002956,0.183645,0.002475,0.073857,0.001133,0.001575,0.180168,0.00121,0.07145,0.001084,0.001682,0.180626,0.001306,0.071608,0.00109,7
10,0.002501,0.002778,0.168345,0.002289,0.06751,0.000952,0.001416,0.167994,0.001096,0.066584,0.000943,0.001535,0.1696,0.001197,0.067063,0.000961,7
11,0.002451,0.002337,0.158693,0.001863,0.063761,0.000845,0.001739,0.160938,0.001431,0.063473,0.000866,0.00187,0.162244,0.001548,0.064432,0.000881,7
12,0.002402,0.002151,0.150942,0.001683,0.060453,0.000764,0.002164,0.150699,0.00189,0.060387,0.000762,0.002276,0.153052,0.00198,0.06173,0.000786,7
13,0.002354,0.001896,0.142499,0.001507,0.057152,0.00068,0.001286,0.146014,0.001009,0.057636,0.000712,0.001362,0.145927,0.001079,0.057703,0.000712,7
14,0.002307,0.002127,0.136335,0.001721,0.054333,0.000624,0.001545,0.139768,0.001225,0.055448,0.000654,0.001461,0.142745,0.001177,0.056738,0.000681,7
15,0.002261,0.002043,0.132814,0.001655,0.053212,0.000592,0.00164,0.134427,0.001321,0.053235,0.000605,0.001517,0.136777,0.001231,0.054283,0.000626,7
1,0.003,0.016311,2.116114,0.01307,0.902203,0.149531,0.03411,1.336425,0.033229,0.546711,0.060698,0.034623,1.362398,0.033751,0.554942,0.06307,8
2,0.00294,0.014528,0.954473,0.010281,0.358778,0.030578,0.005157,0.781479,0.004029,0.285863,0.020384,0.005809,0.827639,0.004568,0.294835,0.022867,8
3,0.002881,0.007687,0.683488,0.006354,0.243178,0.015631,0.008782,0.505015,0.008028,0.190908,0.008578,0.009265,0.53329,0.008232,0.197759,0.009566,8
4,0.002824,0.005401,0.422308,0.004341,0.163237,0.005974,0.007658,0.37568,0.006938,0.146445,0.004763,0.007862,0.381242,0.007045,0.147399,0.004907,8
