lmax,stage,mean_ms,std_ms
4,0_convolution.weight_nn_ms,0.0844789668917656,0.009670057607389863
4,1_convolution.aggregation_ms,0.04905819660052657,0.0059508801747691605
4,1_convolution.denominator_ms,0.009703810792416334,0.0004927569861142833
4,1_convolution.message_tp_ms,3.3942785346880555,5.556582130591476
4,1_convolution.src_gather_ms,0.012132071424275637,0.000933878074222129
4,1_convolution.weight_nn_ms,0.08145845495164394,0.0071914867474879435
4,2_convolution.aggregation_ms,0.038128369487822056,0.002977158871034073
4,2_convolution.denominator_ms,0.008964200969785452,0.0004625198940163012
4,2_convolution.message_tp_ms,0.45491030905395746,0.8352841092490908
4,2_convolution.src_gather_ms,0.01244773156940937,0.000944469681917308
4,2_convolution.weight_nn_ms,0.08090970804914832,0.007966021955607831
4,cutoff_ms,0.05957670509815216,0.006744128850846136
4,edge_length_norm_ms,0.01779526937752962,0.0035248925395245817
4,model_total_ms,20.47832803800702,15.321943061537581
4,radial_basis_ms,0.03349701873958111,0.005754206000741451
4,radial_combine_ms,0.008028314914554358,0.0003311487867473079
4,spherical_harmonics_ms,0.4153597983531654,0.023943132753012845
4,top_force_output_ms,10.434413549955934,2.222876296657918
5,0_convolution.aggregation_ms,0.03940238384529948,0.005586390080230664
5,0_convolution.denominator_ms,0.009029358625411987,0.001571345641620155
5,0_convolution.message_tp_ms,0.43436846463009715,0.8662625737117643
5,0_convolution.src_gather_ms,0.012253341265022755,0.00134586340778318
5,0_convolution.weight_nn_ms,0.08578591514378786,0.008006160714571013
5,1_convolution.aggregation_ms,0.05259671015664935,0.0056195687033100475
5,1_convolution.denominator_ms,0.010088062845170498,0.0008397107447876516
5,1_convolution.message_tp_ms,5.740133859217167,9.610680219187998
5,1_convolution.src_gather_ms,0.012395309749990702,0.0008107160389260045
5,1_convolution.weight_nn_ms,0.08291106205433607,0.0061291669587697295
5,2_convolution.aggregation_ms,0.039082602597773075,0.0038622428969827065
5,2_convolution.denominator_ms,0.009088660590350628,0.0005210605221500574
5,2_convolution.message_tp_ms,0.527772621717304,0.95213617725376
5,2_convolution.src_gather_ms,0.012944883201271296,0.0017523869964316215
5,2_convolution.weight_nn_ms,0.08650976233184338,0.014240371543200916
5,cutoff_ms,0.06232889136299491,0.0076818247368001845
5,edge_length_norm_ms,0.018349115271121264,0.003248276814950138
5,model_total_ms,28.37801615241915,20.481842444990765
5,radial_basis_ms,0.03575723385438323,0.006031626446198208
5,radial_combine_ms,0.009192049037665129,0.0033526866185657487
5,spherical_harmonics_ms,0.7067006430588663,0.026634626921829784
5,top_force_output_ms,14.93525633122772,2.4857733125008523
6,0_convolution.aggregation_ms,0.04346969071775675,0.009249150568865779
6,0_convolution.denominator_ms,0.009668106213212013,0.0027354364385027445
6,0_convolution.message_tp_ms,0.4990507964976132,0.9930934855324641
6,0_convolution.src_gather_ms,0.013031426351517439,0.001302180396934266
6,0_convolution.weight_nn_ms,0.08931141346693039,0.00887265990883857
6,1_convolution.aggregation_ms,0.06951052928343415,0.011122203331746485
6,1_convolution.denominator_ms,0.012069405056536198,0.004074419029821323
6,1_convolution.message_tp_ms,9.198720287531614,15.889241387638677
6,1_convolution.src_gather_ms,0.0127962208352983,0.00089859411394977
6,1_convolution.weight_nn_ms,0.08336622267961502,0.005605203066340564
6,2_convolution.aggregation_ms,0.04026852548122406,0.0048499462790429475
6,2_convolution.denominator_ms,0.0093205482698977,0.0005341198985984477
6,2_convolution.message_tp_ms,0.5870132357813418,1.0613369408141096
6,2_convolution.src_gather_ms,0.013533665332943201,0.0015290629837557475
6,2_convolution.weight_nn_ms,0.0854449812322855,0.009479868261683302
6,cutoff_ms,0.06264856783673167,0.004267087383418491
6,edge_length_norm_ms,0.01998221268877387,0.0032943173092285947
6,model_total_ms,39.11303729983047,27.622890138495553
6,radial_basis_ms,0.0361262122169137,0.004780714052099341
6,radial_combine_ms,0.011051155161112547,0.007144757931804402
