graph_name,num_edges,num_pairs,lmax,case,device,warmup,repeat,mean_ms,std_ms,median_ms,p95_ms
small_benzene,114,57,4,pair_sh,cuda,20,100,0.3445052805542946,0.0021031985785557148,0.34406399726867676,0.34845440089702606
small_benzene,114,57,4,baseline_edge_embedding,cuda,20,100,0.3953964802622795,0.00912338846622721,0.39423999190330505,0.4147711992263794
small_benzene,114,57,4,pair_edge_embedding,cuda,20,100,0.46757120013236997,0.017915591057961134,0.45875200629234314,0.5027887970209122
large_nacl_10x10x10,36000,18000,1,baseline_sh,cuda,20,100,0.040648639723658564,0.0014258981539412216,0.0400799997150898,0.04406879991292953
large_nacl_10x10x10,36000,18000,1,pair_sh_kernel_only,cuda,20,100,0.04016351960599422,0.0013223610123758026,0.03993599861860275,0.04235840160399675
large_nacl_10x10x10,36000,18000,1,pair_sh,cuda,20,100,0.05798240020871162,0.0014194236032648688,0.057583998888731,0.06048639863729477
large_nacl_10x10x10,36000,18000,1,baseline_edge_embedding,cuda,20,100,0.1117200005799532,0.0015891114523530064,0.11148799955844879,0.11506079696118832
large_nacl_10x10x10,36000,18000,1,pair_edge_embedding,cuda,20,100,0.1801270405948162,0.009307247286668723,0.17612800002098083,0.20346879959106445
large_nacl_10x10x10,36000,18000,2,baseline_sh,cuda,20,100,0.0834230387210846,0.006584391081275077,0.08089599758386612,0.10567519962787628
large_nacl_10x10x10,36000,18000,2,pair_sh_kernel_only,cuda,20,100,0.08163807898759842,0.0068371172523952126,0.07886399701237679,0.10247039757668971
large_nacl_10x10x10,36000,18000,2,pair_sh,cuda,20,100,0.09991104058921337,0.007048960258067671,0.09728000313043594,0.12053120099008083
large_nacl_10x10x10,36000,18000,2,baseline_edge_embedding,cuda,20,100,0.15411072120070457,0.008425699015752262,0.1507679969072342,0.17817600071430206
large_nacl_10x10x10,36000,18000,2,pair_edge_embedding,cuda,20,100,0.22076319977641107,0.0100685583221215,0.21721599996089935,0.24368159994482994
large_nacl_10x10x10,36000,18000,3,baseline_sh,cuda,20,100,0.14704672038555144,0.007873762411453246,0.1440799981355667,0.16874719634652138
large_nacl_10x10x10,36000,18000,3,pair_sh_kernel_only,cuda,20,100,0.14125663951039313,0.007381326360114415,0.13953600078821182,0.15589439347386358
large_nacl_10x10x10,36000,18000,3,pair_sh,cuda,20,100,0.15550144106149674,0.0036166310263137783,0.15462400019168854,0.15937920585274695
large_nacl_10x10x10,36000,18000,3,baseline_edge_embedding,cuda,20,100,0.21893343955278396,0.012896774963824544,0.21299199759960175,0.24672320112586021
large_nacl_10x10x10,36000,18000,3,pair_edge_embedding,cuda,20,100,0.28044416040182113,0.014501053632952074,0.2734079957008362,0.3077424094080925
large_nacl_10x10x10,36000,18000,4,baseline_sh,cuda,20,100,0.3370755180716515,0.008948466279984375,0.33484798669815063,0.3606016024947166
large_nacl_10x10x10,36000,18000,4,pair_sh_kernel_only,cuda,20,100,0.3236102405190468,0.008337452971262344,0.32126399874687195,0.34347359240055086
large_nacl_10x10x10,36000,18000,4,pair_sh,cuda,20,100,0.3455753603577614,0.012742926887591327,0.34086400270462036,0.37079039216041565
large_nacl_10x10x10,36000,18000,4,baseline_edge_embedding,cuda,20,100,0.41054463922977447,0.01571017732719868,0.4028960019350052,0.4446879878640175
large_nacl_10x10x10,36000,18000,4,pair_edge_embedding,cuda,20,100,0.47412351906299594,0.016432429708005864,0.4671040028333664,0.5089679926633834
