dataset,sample_id,modal,natoms,case,repeat_idx_mean,edge_length_norm_ms_mean,edge_length_norm_ms_load_mean,radial_basis_ms_mean,radial_basis_ms_load_mean,cutoff_ms_mean,cutoff_ms_load_mean,radial_combine_ms_mean,radial_combine_ms_load_mean,spherical_harmonics_ms_mean,spherical_harmonics_ms_load_mean,pair_expand_ms_mean,pair_expand_ms_load_mean,conv_weight_nn_ms_mean,conv_weight_nn_ms_load_mean,pair_indexing_ms_mean,pair_indexing_ms_load_mean,conv_src_gather_ms_mean,conv_src_gather_ms_load_mean,conv_filter_gather_ms_mean,conv_filter_gather_ms_load_mean,conv_message_tp_ms_mean,conv_message_tp_ms_load_mean,flash_fused_conv_ms_mean,flash_fused_conv_ms_load_mean,conv_aggregation_ms_mean,conv_aggregation_ms_load_mean,conv_denominator_ms_mean,conv_denominator_ms_load_mean,top_input_embedding_ms_mean,top_input_embedding_ms_load_mean,top_interaction_other_ms_mean,top_interaction_other_ms_load_mean,top_readout_ms_mean,top_readout_ms_load_mean,top_force_output_ms_mean,top_force_output_ms_load_mean,model_total_ms_mean,model_total_ms_load_mean,other_ms_mean,other_ms_load_mean,repeat_idx_std,edge_length_norm_ms_std,edge_length_norm_ms_load_std,radial_basis_ms_std,radial_basis_ms_load_std,cutoff_ms_std,cutoff_ms_load_std,radial_combine_ms_std,radial_combine_ms_load_std,spherical_harmonics_ms_std,spherical_harmonics_ms_load_std,pair_expand_ms_std,pair_expand_ms_load_std,conv_weight_nn_ms_std,conv_weight_nn_ms_load_std,pair_indexing_ms_std,pair_indexing_ms_load_std,conv_src_gather_ms_std,conv_src_gather_ms_load_std,conv_filter_gather_ms_std,conv_filter_gather_ms_load_std,conv_message_tp_ms_std,conv_message_tp_ms_load_std,flash_fused_conv_ms_std,flash_fused_conv_ms_load_std,conv_aggregation_ms_std,conv_aggregation_ms_load_std,conv_denominator_ms_std,conv_denominator_ms_load_std,top_input_embedding_ms_std,top_input_embedding_ms_load_std,top_interaction_other_ms_std,top_interaction_other_ms_load_std,top_readout_ms_std,top_readout_ms_load_std,top_force_output_ms_std,top_force_output_ms_load_std,model_total_ms_std,model_total_ms_load_std,other_ms_std,other_ms_load_std
iso17,iso17,spice,19,flash_baseline,2.0,0.023842044174671173,340.0,0.04120636731386185,340.0,0.07914300076663494,340.0,0.008564582094550133,2720.0,0.2786112017929554,340.0,0.0,0.0,0.44852960854768753,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0844174306839705,1700.0,0.0,0.0,0.058564869686961174,0.0,0.9627990890294313,0.0,60.16453253105283,0.0,2.78374464251101,0.0,15.301683032885194,0.0,82.03956200741231,0.0,1.849196432158351,0.0,1.4142135623730951,0.002313077950792094,0.0,0.0020280997425639645,0.0,0.0011402709242387308,0.0,0.00014545939380774002,0.0,0.006717492501894566,0.0,0.0,0.0,0.008401923215666724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008117316779130196,0.0,0.0,0.0,0.0008528376831541011,0.0,0.012771325443895198,0.0,0.060109257927621465,0.0,0.015688632498874082,0.0,0.08959994630746322,0.0,0.0889612631635031,0.0,0.010608830331791275,0.0
iso17,iso17,spice,19,flash_pair_auto,2.0,0.017908820882439613,170.0,0.03643222153186798,170.0,0.07713655941188335,170.0,0.00859149731695652,1360.0,0.2692966256290674,170.0,0.07543116807937622,12070.0,0.461059482768178,850.0,0.07504369132220745,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1221732944250107,1700.0,0.0,0.0,0.05927835591137409,0.0,0.9475216269493103,0.0,60.1215872913599,0.0,2.7827496640384197,0.0,15.448941802605987,0.0,82.45687014423311,0.0,2.063616458326578,0.0,1.4142135623730951,0.0002064020950611008,0.0,0.00038657881928851436,0.0,0.0008019236704548864,0.0,0.0001650675274750962,0.0,0.002744682501924498,0.0,0.0019776297415408854,0.0,0.017571509585227244,0.0,0.0021565760990350396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016837153328315348,0.0,0.0,0.0,0.0005233378996962332,0.0,0.01921170399634401,0.0,0.14442686860390874,0.0,0.0070466338145107,0.0,0.08999170910366894,0.0,0.19389917137034368,0.0,0.03560923230720559,0.0
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,2.0,0.023427791893482208,1142.0,0.04610246978700161,1142.0,0.08657444268465042,1142.0,0.008776085451245308,9136.0,0.29373052529990673,1142.0,0.0,0.0,0.47908173874020576,5710.0,0.0,0.0,0.08986322209239006,5710.0,0.0,0.0,61.972805950790644,5710.0,0.0,0.0,0.3720178734511137,5710.0,0.05602072924375534,0.0,0.9544327389448881,0.0,60.77632806263864,0.0,2.798103168606758,0.0,27.5041445158422,0.0,156.31983783096075,0.0,63.25801610946655,0.0,1.4142135623730951,0.0012436743677894386,0.0,0.010078684082004533,0.0,0.002647920166658631,0.0,8.126436560173633e-05,0.0,0.007279949179647491,0.0,0.0,0.0,0.007493886834197167,0.0,0.0,0.0,0.000793377742730572,0.0,0.0,0.0,0.3513302850136328,0.0,0.0,0.0,0.001977799691995646,0.0,0.001702151369746614,0.0,0.010455722884842323,0.0,0.15874454438750038,0.0,0.014721091249435568,0.0,0.1851749408490028,0.0,0.49196599193221957,0.0,0.3530458414705763,0.0
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,2.0,0.020385487005114555,571.0,0.03947182558476925,571.0,0.08468250744044781,571.0,0.00877375714480877,4568.0,0.2953103743493557,571.0,0.0769326463341713,40541.0,0.4780035000294447,2855.0,0.27472046203911304,14275.0,0.109886284917593,5710.0,0.08090944029390812,5710.0,9.6522003877908,5710.0,0.0,0.0,0.5327146034687757,5710.0,0.055376673117280006,0.0,0.9944387245923281,0.0,61.19180084206164,0.0,2.796519035473466,0.0,40.558470180258155,0.0,118.75503263436258,0.0,12.039481569081545,0.0,1.4142135623730951,0.0017155996575003993,0.0,0.0005813887077778593,0.0,0.0010193818202442716,0.0,0.00012782542288677207,0.0,0.003708308619501848,0.0,0.0007481815913801261,0.0,0.007007312236996696,0.0,0.009837801535761392,0.0,0.0005977672923810059,0.0,0.0003405777257505197,0.0,0.05068063312981692,0.0,0.0,0.0,0.0036220702605233423,0.0,0.008106038836832521,0.0,0.01447097948457572,0.0,0.17328139248666058,0.0,0.013872601492153061,0.0,0.1887235581612406,0.0,0.3765882899877555,0.0,0.06547051334914697,0.0
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,2.0,0.02292478457093239,1142.0,0.040189456194639206,1142.0,0.07975227199494839,1142.0,0.00858251005411148,9136.0,0.27396236546337605,1142.0,0.0,0.0,0.4684736952185631,5710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1255173943936825,5710.0,0.0,0.0,0.0624106265604496,0.0,0.9529061149805784,0.0,60.38558459840715,0.0,2.7947343420237303,0.0,15.47855380922556,0.0,82.50744645483792,0.0,1.922396942973137,0.0,1.4142135623730951,0.001655493689944096,0.0,0.0025943963245509422,0.0,0.0027560856524635764,0.0,0.00019573730869920118,0.0,0.0011633400162964875,0.0,0.0,0.0,0.0031887883098260395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01934186211249443,0.0,0.0,0.0,0.005425667010812734,0.0,0.012484459532912651,0.0,0.5017735865395313,0.0,0.01769753173872415,0.0,0.1947148374808633,0.0,0.6005872880649733,0.0,0.013161711042272513,0.0
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,2.0,0.018171779811382294,571.0,0.0380905345082283,571.0,0.07954742759466171,571.0,0.008708517998456955,4568.0,0.2830007579177618,571.0,0.07459507323801517,40541.0,0.45467559248209,2855.0,0.20039165392518044,5710.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1253166943788528,5710.0,0.0,0.0,0.06120833568274975,0.0,1.038854569196701,0.0,60.8768661506474,0.0,2.795191528275609,0.0,15.586683806031942,0.0,83.61256322823465,0.0,2.1992302034050226,0.0,1.4142135623730951,0.0003809830069229731,0.0,0.00036805249539921265,0.0,0.0008999301849208129,0.0,0.0002651799121333891,0.0,0.004414231821963627,0.0,0.0009907409439325993,0.0,0.003752125079038407,0.0,0.0021820187810237725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015071702583359018,0.0,0.0,0.0,0.001090182467044381,0.0,0.051715787539722474,0.0,0.07579071227908217,0.0,0.024540555870808355,0.0,0.13473576143389013,0.0,0.1540602271927199,0.0,0.02193291970742262,0.0
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,2.0,0.02491041086614132,1312.0,0.04178304225206375,1312.0,0.08771899156272411,1312.0,0.008669449016451836,10496.0,0.29413169249892235,1312.0,0.0,0.0,0.48618195578455925,6560.0,0.0,0.0,0.09403466247022152,6560.0,0.0,0.0,61.87441488727927,6560.0,0.0,0.0,0.41680485010147095,6560.0,0.056826276704669,0.0,0.9603936225175858,0.0,60.888866847380996,0.0,2.8184641618281603,0.0,27.509689470753074,0.0,156.42550769262016,0.0,63.2166332565248,0.0,1.4142135623730951,0.0022681997864255174,0.0,0.0031593032386927943,0.0,0.006681871319996836,0.0,7.410469410018856e-05,0.0,0.009687636318196852,0.0,0.0,0.0,0.00823569213020214,0.0,0.0,0.0,0.002506396707143811,0.0,0.0,0.0,0.13765355883590738,0.0,0.0,0.0,0.00414840356414043,0.0,0.0013776953280567746,0.0,0.004850028514914877,0.0,0.09258580267863352,0.0,0.026370904565533895,0.0,0.24076636554833603,0.0,0.21879766802455022,0.0,0.13690504031863787,0.0
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,2.0,0.019737891852855682,656.0,0.03948695957660675,656.0,0.0843588262796402,656.0,0.008914200589060783,5248.0,0.29793987050652504,656.0,0.07922532968223095,46576.0,0.48121954314410686,3280.0,0.2734111621975899,16400.0,0.11809244751930237,6560.0,0.08120210841298103,6560.0,8.070323942229152,6560.0,0.0,0.0,0.5478889215737581,6560.0,0.05280408076941967,0.0,0.9935558307915926,0.0,61.05298982001841,0.0,2.802627207711339,0.0,40.3426771517843,0.0,116.8244335334748,0.0,10.47393842600286,0.0,1.4142135623730951,0.00033029446035002586,0.0,0.00042841818840564993,0.0,0.0007185286539871952,0.0,0.00025513587455953214,0.0,0.005073433866868869,0.0,0.004536584213778892,0.0,0.013684559353380695,0.0,0.0024379798870100035,0.0,0.009799115668547565,0.0,0.0019317800014591487,0.0,0.0675287919131232,0.0,0.0,0.0,0.0031124840572423766,0.0,0.0004189793843637556,0.0,0.014941156400242421,0.0,0.13489773588496937,0.0,0.014108008882361071,0.0,0.08936019135428139,0.0,0.29616821404611116,0.0,0.05834443475195633,0.0
md22_at_at,md22_AT-AT_12521,spice,60,flash_baseline,2.0,0.022319192066788673,1312.0,0.04328959621489048,1312.0,0.08068676106631756,1312.0,0.00856807455420494,10496.0,0.28299521654844284,1312.0,0.0,0.0,0.4752002190798521,6560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1341269128024578,6560.0,0.0,0.0,0.06207986734807491,0.0,0.9536262135952711,0.0,60.112318536266685,0.0,2.7955454774200916,0.0,15.394940227270126,0.0,82.17839477583766,0.0,1.9326835870742798,0.0,1.4142135623730951,0.00031218077872624506,0.0,0.009912006529200353,0.0,0.00147203189392498,0.0,0.00010840296725201095,0.0,0.009198954276365932,0.0,0.0,0.0,0.0046595394230056104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02193303778072764,0.0,0.0,0.0,0.0007527080471467619,0.0,0.00899363899510076,0.0,0.11358496442363246,0.0,0.010129135392415837,0.0,0.0504151482594178,0.0,0.14003646724820068,0.0,0.021692392905573166,0.0
md22_at_at,md22_AT-AT_12521,spice,60,flash_pair_auto,2.0,0.01908433623611927,656.0,0.0379025936126709,656.0,0.08057616651058197,656.0,0.008682813495397568,5248.0,0.2835235558450222,656.0,0.0753993634134531,46576.0,0.4697594325989485,3280.0,0.1359089743345976,6560.0,0.0,0.0,0.0,0.0,0.0,0.0,1.090286998078227,6560.0,0.0,0.0,0.06185295060276985,0.0,1.0424654930830002,0.0,60.66832891665399,0.0,2.789014019072056,0.0,16.16452354937792,0.0,83.89956541359425,0.0,2.116824872791767,0.0,1.4142135623730951,0.0003514695164435137,0.0,0.0004996228493053688,0.0,0.0007566656336592339,0.0,0.00017803215781595923,0.0,0.003700546499149332,0.0,0.0011838413355148873,0.0,0.007027337535998509,0.0,0.002787134852609858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016776978706481944,0.0,0.0,0.0,0.0006795157384842293,0.0,0.04673406210989729,0.0,0.09927292792249291,0.0,0.0123012209605898,0.0,0.3274969781407831,0.0,0.2533964005952867,0.0,0.014398874461389738,0.0
