dataset,sample_id,modal,natoms,case,n_warmup,n_repeat,device,resolved_policy,abs_energy_diff_mean,abs_energy_diff_std,abs_energy_diff_max,max_force_diff_mean,max_force_diff_std,max_force_diff_max,mean_force_diff_mean,mean_force_diff_std,mean_force_diff_max
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,1.0376175244649252e-06,1.3686824486568868e-07,1.3709068298339844e-06,2.0406300791364628e-07,7.664748438827825e-09,2.203166076242269e-07
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,1.6337881485621134e-06,1.6398806126807667e-07,1.9669532775878906e-06,3.335222733843087e-07,8.219889255472775e-09,3.4937141890623025e-07
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,7.208436727523804e-07,3.005038002571435e-07,1.3113021850585938e-06,9.151655907165453e-08,3.1765174584460225e-09,9.682857182724547e-08
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,1.1949179073174794e-06,3.5226772008867017e-07,2.0563602447509766e-06,1.7983580325638588e-07,3.2869220431086395e-09,1.8603392959448684e-07
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,1.3181939721107484e-06,1.7397886764095853e-07,1.8272548913955688e-06,2.4311670803930004e-07,8.549101129589419e-09,2.595268426830444e-07
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,2.207358678181966e-06,1.9883358667658273e-07,2.652406692504883e-06,4.543783148847069e-07,9.718783171930499e-09,4.746753177187202e-07
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,sevennet_baseline,2,30,cuda,baseline,1.220703125e-05,3.662109375e-05,0.0001220703125,7.947285970052084e-06,3.0391485602613116e-06,1.52587890625e-05,2.515437041476313e-07,1.928020983083914e-08,2.9119323130544217e-07
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,sevennet_geometry_only,2,30,cuda,geometry_only,2.0345052083333332e-05,4.549291946410705e-05,0.0001220703125,7.692972819010416e-06,2.522383934641186e-06,1.52587890625e-05,3.566904429893233e-07,1.6622618426186424e-08,3.846977278954e-07
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,sevennet_baseline,2,30,cuda,baseline,4.069010416666667e-06,1.5224842882380947e-05,6.103515625e-05,8.88512780268987e-07,1.4144671094769875e-07,1.2246891856193542e-06,1.8183980519855442e-07,6.067928337031405e-09,1.945984564599712e-07
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,sevennet_geometry_only,2,30,cuda,geometry_only,8.138020833333333e-06,2.0747963515595644e-05,6.103515625e-05,2.224991718928019e-06,2.246773884460589e-07,2.682209014892578e-06,4.4227784504376665e-07,6.902317890765675e-09,4.5677663251808553e-07
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,2,30,cuda,baseline,1.4241536458333334e-05,2.58149770923859e-05,6.103515625e-05,0.00015716552734375,7.569651339607216e-05,0.0003662109375,1.4215627553918844e-06,3.782658988516124e-07,2.24248515223735e-06
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,2,30,cuda,geometry_only,8.138020833333333e-06,2.0747963515595644e-05,6.103515625e-05,0.00030517578125,8.035651716362101e-05,0.00048828125,2.2377240156856716e-06,4.551525741369635e-07,3.434009386182879e-06
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,2.213319142659505e-06,4.083341130317105e-07,3.337860107421875e-06,2.2756775545455335e-07,7.305546182373648e-09,2.4035395540522586e-07
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,3.1620264053344725e-06,3.011214619836749e-07,3.7550926208496094e-06,4.4865591443491817e-07,9.527754312581267e-09,4.7274110670514347e-07
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,4.57763671875e-06,1.4442210758972865e-06,7.62939453125e-06,3.836266917763472e-07,1.7550605567044902e-08,4.274856451047526e-07
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,8.7738037109375e-06,1.9451215795870915e-06,1.1444091796875e-05,6.760914781504349e-07,2.850396479071024e-08,7.50883543787495e-07
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,2.4278958638509115e-06,4.2285237612479616e-07,3.814697265625e-06,2.594446764684714e-07,8.825005637998918e-09,2.7954754955317185e-07
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,3.3269325892130536e-06,4.555944576254287e-07,4.410743713378906e-06,4.710020391485159e-07,7.686861909286775e-09,4.871797045780113e-07
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,8.523277041187309e-08,1.7261264431808377e-08,1.1435705005169439e-07,3.147806412565994e-08,5.761481550569017e-09,4.4675029897689456e-08
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,8.951708387883173e-08,1.9986769915075532e-08,1.5002804332198139e-07,3.123861785544098e-08,5.550221147177716e-09,4.7827455773585825e-08
qm9_hf,0_3057,qcml,29,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,8.07642936706543e-07,1.953757611185741e-07,1.3113021850585938e-06,1.3719505365846392e-07,1.737422976588157e-08,1.768442388083713e-07
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,9.832282861073812e-07,1.9775627515546557e-07,1.564621925354004e-06,2.0116621139247096e-07,1.579805121539972e-08,2.4227767880802276e-07
