system,case,repeat,mode,builder,policy,rank,nedges,npairs,pair_metadata_total_ms,pair_metadata_build_ms,model_inference_ms,compute_total_ms
bulk_small,geometry_only_upstream,0,serial,upstream,geometry_only,0,928,464,0.097179,0.02501,102.785387,164.712117
bulk_small,geometry_only_upstream,1,serial,upstream,geometry_only,0,928,464,0.095877,0.02702,107.132901,167.494105
bulk_small,geometry_only_upstream,2,serial,upstream,geometry_only,0,928,464,0.096797,0.024391,103.0576,164.460299
bulk_small,geometry_only_upstream,3,serial,upstream,geometry_only,0,928,464,0.100949,0.028499,108.001305,169.957622
bulk_small,geometry_only_upstream,4,serial,upstream,geometry_only,0,928,464,0.109532,0.02581,120.865591,180.048851
bulk_small,geometry_only_upstream,5,serial,upstream,geometry_only,0,928,464,0.099007,0.024146,105.963217,165.592253
bulk_small,geometry_only_upstream,6,serial,upstream,geometry_only,0,928,464,0.100257,0.029112,102.864987,162.345622
bulk_small,geometry_only_upstream,7,serial,upstream,geometry_only,0,928,464,0.092546,0.024859,102.65729,164.437504
bulk_small,geometry_only_upstream,8,serial,upstream,geometry_only,0,928,464,0.099944,0.022568,103.699175,165.512796
bulk_small,geometry_only_upstream,9,serial,upstream,geometry_only,0,928,464,0.095742,0.023984,102.613266,162.055445
bulk_small,geometry_only_upstream,10,serial,upstream,geometry_only,0,928,464,0.100105,0.030931,102.617773,164.009707
bulk_small,geometry_only_upstream,11,serial,upstream,geometry_only,0,928,464,0.099577,0.026496,102.965038,163.955331
bulk_small,geometry_only_upstream,12,serial,upstream,geometry_only,0,928,464,0.099424,0.025827,103.543672,167.978697
bulk_small,geometry_only_upstream,13,serial,upstream,geometry_only,0,928,464,0.096652,0.027,103.015216,164.971099
bulk_small,geometry_only_upstream,14,serial,upstream,geometry_only,0,928,464,0.10372,0.026155,104.315991,166.324259
bulk_small,geometry_only_upstream,15,serial,upstream,geometry_only,0,928,464,0.099094,0.024396,103.216492,165.48908
bulk_small,geometry_only_upstream,16,serial,upstream,geometry_only,0,928,464,0.104534,0.026683,104.022819,165.987981
bulk_small,geometry_only_upstream,17,serial,upstream,geometry_only,0,928,464,0.101757,0.029765,103.174191,169.746792
bulk_small,geometry_only_upstream,18,serial,upstream,geometry_only,0,928,464,0.093576,0.025643,102.341548,178.70648
bulk_small,geometry_only_upstream,19,serial,upstream,geometry_only,0,928,464,0.100343,0.025526,106.244813,193.136079
bulk_small,geometry_only_upstream,20,serial,upstream,geometry_only,0,928,464,0.098049,0.027985,107.388791,166.596593
bulk_small,geometry_only_upstream,21,serial,upstream,geometry_only,0,928,464,0.100528,0.024167,106.137694,166.707922
bulk_small,geometry_only_upstream,22,serial,upstream,geometry_only,0,928,464,0.101498,0.02832,103.091577,164.11155
bulk_small,geometry_only_upstream,23,serial,upstream,geometry_only,0,928,464,0.093895,0.02429,103.510253,164.877962
bulk_small,geometry_only_upstream,24,serial,upstream,geometry_only,0,928,464,0.094865,0.025261,102.834944,162.325506
bulk_small,geometry_only_upstream,25,serial,upstream,geometry_only,0,928,464,0.099357,0.025427,106.246994,188.454813
bulk_small,geometry_only_upstream,26,serial,upstream,geometry_only,0,928,464,0.095652,0.026354,103.97583,166.529224
bulk_small,geometry_only_upstream,27,serial,upstream,geometry_only,0,928,464,0.102897,0.031159,125.60678,210.815477
bulk_small,geometry_only_upstream,28,serial,upstream,geometry_only,0,928,464,0.120209,0.024484,108.881549,171.051973
