dataset,sample_id,modal,natoms,case,resolved_policy,n_warmup,n_repeat,device,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,abs_energy_diff_vs_e3nn,max_abs_force_diff_vs_e3nn
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,flash_pair_auto,geometry_only,3,10,cuda,27.30593392625451,1.4330395616841762,27.88645855616778,28.412458719685674,83.64160739195843,29.204293115526422,0.0,1.1622905731201172e-06
oc20_s2ef_train_2m,frame27,oc20,225,flash_baseline,baseline,3,10,cuda,17.841051262803376,0.10947691711173499,17.873499891720712,17.92818281101063,63.9675366692245,15.606004744042258,0.0,8.195638656616211e-07
oc20_s2ef_train_2m,frame27,oc20,225,flash_pair_auto,geometry_only,3,10,cuda,26.08145517297089,3.1252244699965863,26.167716016061604,30.815498204901807,90.05089298201104,35.857189446039115,0.0,8.344650268554688e-07
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,flash_baseline,baseline,3,10,cuda,26.72562445513904,1.785322129340646,27.600628905929625,28.694003797136247,65.9870357097437,14.366616497705811,0.0,1.0728836059570312e-06
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,flash_pair_auto,geometry_only,3,10,cuda,27.3211020976305,2.0469059573494612,27.50557940453291,30.25376317091286,101.97473627825578,50.73565997222989,0.0,1.9073486328125e-06
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,flash_baseline,baseline,3,10,cuda,15.65638380125165,0.17878521835356942,15.674062422476709,15.906771156005561,63.14078330372771,15.717128040844468,0.0,7.409107638522983e-07
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,flash_pair_auto,geometry_only,3,10,cuda,21.270505408756435,2.3304571778795165,21.022243541665375,24.84181412728503,80.52232023328543,24.545137402653626,0.0,1.0728836059570312e-06
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,flash_baseline,baseline,3,10,cuda,24.780595465563238,3.310504355804464,24.49978794902563,28.94500995753333,64.65877965092659,14.429017657287615,0.0,1.0728836059570312e-06
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,flash_pair_auto,geometry_only,3,10,cuda,27.13731045369059,1.6420976122960114,27.824277989566326,28.24897605460137,92.06508697631459,38.745017276552666,0.0,1.8831342458724976e-06
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,flash_baseline,baseline,3,10,cuda,17.020408110693097,0.27291846096923056,17.097251140512526,17.305975768249482,63.41115936326484,15.353111654490105,0.0,5.066394805908203e-07
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,flash_pair_auto,geometry_only,3,10,cuda,25.620360882021487,3.349019600854904,27.38173503894359,28.535409248434007,88.87180569581687,35.335507823105104,0.0,1.2218952178955078e-06
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,baseline,3,10,cuda,27.11769985035062,2.0286776128294552,27.794034918770194,29.594838665798306,65.87176932953298,14.336993698927934,0.0,1.3541430234909058e-06
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_pair_auto,geometry_only,3,10,cuda,26.969725801609457,1.6069334762650285,27.786659076809883,28.08163168374449,99.4109093832473,48.11678124796872,0.0,2.6971101760864258e-06
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,flash_baseline,baseline,3,10,cuda,25.72288925293833,1.723032070044275,25.423141079954803,28.215426520910114,67.0521833623449,13.624308810705037,0.0,7.62939453125e-06
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,flash_pair_auto,geometry_only,3,10,cuda,27.351747103966773,1.9210757789032884,27.51733094919473,30.093612731434405,93.82751397788525,39.781390075928584,0.0,5.7220458984375e-06
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,flash_baseline,baseline,3,10,cuda,27.958969795145094,0.20485711794459088,27.94049249496311,28.272830555215478,69.02768276631832,14.549978687469821,0.0,9.10833477973938e-07
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,flash_pair_auto,geometry_only,3,10,cuda,29.783737030811608,1.0786551282041659,29.258677503094077,31.549698649905622,113.02250724596281,60.649466604267715,0.0,1.8170103430747986e-06
omat24_1m_official,train:106751,omat24,160,flash_baseline,baseline,3,10,cuda,27.951396093703806,1.0561590461036694,27.989667491056025,29.57271640188992,68.53157328441739,13.41156399522191,6.103515625e-05,0.000244140625
omat24_1m_official,train:106751,omat24,160,flash_pair_auto,geometry_only,3,10,cuda,28.234109841287136,0.9140465925673128,27.935617021284997,29.92500300751999,104.69030542299151,51.195998650884185,6.103515625e-05,0.00042724609375
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_baseline,baseline,3,10,cuda,28.061865735799074,0.4773061581429834,27.95569901354611,28.9349882514216,68.68781032972038,15.103248316355177,0.0,2.205371856689453e-06
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,flash_pair_auto,geometry_only,3,10,cuda,30.57838948443532,2.60645423134343,29.227715451270342,35.214948758948594,112.73562729669113,63.007798357905855,0.0,3.0100345611572266e-06
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,flash_baseline,baseline,3,10,cuda,16.325013455934823,0.13074309253368258,16.356494510546327,16.442473977804184,62.81409963654975,15.521131394788897,0.0,7.62939453125e-06
