dataset,sample_id,modal,natoms,case,repeat_idx_mean,edge_length_norm_ms_mean,edge_length_norm_ms_load_mean,radial_basis_ms_mean,radial_basis_ms_load_mean,cutoff_ms_mean,cutoff_ms_load_mean,radial_combine_ms_mean,radial_combine_ms_load_mean,spherical_harmonics_ms_mean,spherical_harmonics_ms_load_mean,pair_expand_ms_mean,pair_expand_ms_load_mean,conv_weight_nn_ms_mean,conv_weight_nn_ms_load_mean,conv_src_gather_ms_mean,conv_src_gather_ms_load_mean,conv_filter_gather_ms_mean,conv_filter_gather_ms_load_mean,pair_indexing_ms_mean,pair_indexing_ms_load_mean,conv_message_tp_ms_mean,conv_message_tp_ms_load_mean,conv_aggregation_ms_mean,conv_aggregation_ms_load_mean,conv_denominator_ms_mean,conv_denominator_ms_load_mean,top_input_embedding_ms_mean,top_input_embedding_ms_load_mean,top_interaction_other_ms_mean,top_interaction_other_ms_load_mean,top_readout_ms_mean,top_readout_ms_load_mean,top_force_output_ms_mean,top_force_output_ms_load_mean,model_total_ms_mean,model_total_ms_load_mean,other_ms_mean,other_ms_load_mean,repeat_idx_std,edge_length_norm_ms_std,edge_length_norm_ms_load_std,radial_basis_ms_std,radial_basis_ms_load_std,cutoff_ms_std,cutoff_ms_load_std,radial_combine_ms_std,radial_combine_ms_load_std,spherical_harmonics_ms_std,spherical_harmonics_ms_load_std,pair_expand_ms_std,pair_expand_ms_load_std,conv_weight_nn_ms_std,conv_weight_nn_ms_load_std,conv_src_gather_ms_std,conv_src_gather_ms_load_std,conv_filter_gather_ms_std,conv_filter_gather_ms_load_std,pair_indexing_ms_std,pair_indexing_ms_load_std,conv_message_tp_ms_std,conv_message_tp_ms_load_std,conv_aggregation_ms_std,conv_aggregation_ms_load_std,conv_denominator_ms_std,conv_denominator_ms_load_std,top_input_embedding_ms_std,top_input_embedding_ms_load_std,top_interaction_other_ms_std,top_interaction_other_ms_load_std,top_readout_ms_std,top_readout_ms_load_std,top_force_output_ms_std,top_force_output_ms_load_std,model_total_ms_std,model_total_ms_load_std,other_ms_std,other_ms_load_std
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,2.0,0.024114781990647316,3740.0,0.041491398587822914,3740.0,0.08792215958237648,3740.0,0.009330129250884056,29920.0,0.30900295823812485,3740.0,0.0,0.0,0.5708224605768919,18700.0,0.14705490320920944,18700.0,0.0,0.0,0.0,0.0,64.44540158845484,18700.0,0.9447813965380192,18700.0,0.06372174248099327,0.0,1.0040879715234041,0.0,60.46397602185607,0.0,2.7812818996608257,0.0,45.625641802325845,0.0,177.3767454084009,0.0,66.46208632737398,0.0,1.4142135623730951,0.0015060582786634424,0.0,0.0025310297912547624,0.0,0.0038096363260929017,0.0,0.0006296286768335714,0.0,0.016790839335233145,0.0,0.0,0.0,0.0029986387816097063,0.0,0.0005841854941112484,0.0,0.0,0.0,0.0,0.0,0.29084871527736705,0.0,0.003312292979711383,0.0,0.00024788346597004224,0.0,0.06641745592336759,0.0,0.1589698998833715,0.0,0.00737154829940523,0.0,0.10887709341721115,0.0,0.5332173487898019,0.0,0.28584447683670466,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,2.0,0.021237554028630257,1870.0,0.04171417094767094,1870.0,0.08880747482180595,1870.0,0.009603239595890045,14960.0,0.31504062935709953,1870.0,0.08754790760576725,132770.0,0.5194889847189188,9350.0,0.16287919133901596,18700.0,0.08381037041544914,18700.0,0.34077889285981655,46750.0,9.542700601741672,18700.0,1.1438542511314154,18700.0,0.06108037196099758,0.0,1.4169636648148298,0.0,64.49617939069867,0.0,2.9814050532877445,0.0,40.43270880356431,0.0,123.33162524737418,0.0,12.748343171551824,0.0,1.4142135623730951,0.0008380006887754351,0.0,0.0023508646957578734,0.0,0.004441292287078301,0.0,0.00048702651407587757,0.0,0.012391879237599518,0.0,0.00958709668380377,0.0,0.02083531949436465,0.0,0.0049177416042814615,0.0,0.0055963406114071836,0.0,0.020005964888336683,0.0,0.42715310316669136,0.0,0.06374770343049518,0.0,0.007696660900748184,0.0,0.23596280586686208,0.0,4.041162859629954,0.0,0.3929756692207158,0.0,1.252109684170985,0.0,6.506006303861289,0.0,0.6442999280027181,0.0
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,2.0,0.026699528098106384,6872.0,0.04440275952219963,6872.0,0.0924830324947834,6872.0,0.01018238253891468,54976.0,0.3267538733780384,6872.0,0.0,0.0,0.6612416356801987,34360.0,0.22674254141747952,34360.0,0.0,0.0,0.0,0.0,68.51279139518738,34360.0,1.5005317516624928,34360.0,0.07283343002200127,0.0,1.0886631440371275,0.0,60.55296710692346,0.0,2.782187797129154,0.0,89.15632958523929,0.0,225.9428177960217,0.0,71.27042328938842,0.0,1.4142135623730951,0.0015579428340483405,0.0,0.0005305252622109241,0.0,0.002167997192260778,0.0,0.00011197319239526584,0.0,0.009755954198333966,0.0,0.0,0.0,0.005560274962096529,0.0,0.009502132484217276,0.0,0.0,0.0,0.0,0.0,0.23209090570909152,0.0,0.005109627404014796,0.0,0.0006898475076537667,0.0,0.013399124809018165,0.0,0.1412362041455679,0.0,0.010446635233242603,0.0,0.20688896767985898,0.0,0.5734289642383389,0.0,0.22759120006443684,0.0
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,2.0,0.021426798775792122,3436.0,0.04337220452725887,3436.0,0.09116497822105885,3436.0,0.00962885096669197,27488.0,0.3193724434822798,3436.0,0.08917595259845257,243956.0,0.592504721134901,17180.0,0.220812251791358,34360.0,0.0844735186547041,34360.0,0.43612909503281116,85900.0,13.487658370286226,34360.0,1.7891342751681805,34360.0,0.059818243607878685,0.0,1.5338921453803778,0.0,62.78981124050915,0.0,2.7872382663190365,0.0,77.84598832949996,0.0,163.74781583435833,0.0,17.52822445705533,0.0,1.4142135623730951,0.0006533888250095164,0.0,0.0030426319395219954,0.0,0.0019719141668445585,0.0,0.00040235901609054727,0.0,0.010049010022484093,0.0,0.011372518808055237,0.0,0.040590332970245634,0.0,0.0025370421255526115,0.0,0.0007584999033130044,0.0,0.003559117155563979,0.0,0.06585225275283049,0.0,0.004264775970631332,0.0,0.000448683621932184,0.0,0.19137766484661134,0.0,0.13371523975052146,0.0,0.009125208175277155,0.0,0.32004297271771937,0.0,0.5929986268513797,0.0,0.11731882329454613,0.0
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,2.0,0.02267402596771717,1406.0,0.039334408938884735,1406.0,0.08948398754000664,1406.0,0.009189639240503311,11248.0,0.2875314559787512,1406.0,0.0,0.0,0.47942022792994976,7030.0,0.09367545135319233,7030.0,0.0,0.0,0.0,0.0,61.926226038485765,7030.0,0.435867952182889,7030.0,0.0547030009329319,0.0,0.9393190033733845,0.0,60.37428951822221,0.0,2.7885363902896643,0.0,27.328343642875552,0.0,155.70897972211242,0.0,63.27361799776554,0.0,1.4142135623730951,0.0006353697410725548,0.0,0.0008229955236456887,0.0,0.011975418725535238,0.0,0.00037111222125468194,0.0,0.0035633480900468637,0.0,0.0,0.0,0.002962961014280819,0.0,0.0008406134273979775,0.0,0.0,0.0,0.0,0.0,0.12877564260969684,0.0,0.0076844234066848725,0.0,0.0005962198558927111,0.0,0.008909505508078612,0.0,0.18241135815998621,0.0,0.009690640571178683,0.0,0.35374320717725566,0.0,0.39754792887901097,0.0,0.13034668251403275,0.0
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,2.0,0.019537564367055893,703.0,0.040014227852225304,703.0,0.08565937168896198,703.0,0.009255530312657356,5624.0,0.3007904626429081,703.0,0.0779386144131422,49913.0,0.47854017466306686,3515.0,0.11587250046432018,7030.0,0.08172686211764812,7030.0,0.2751085441559553,17575.0,8.164195762947202,7030.0,0.5623585544526577,7030.0,0.0531340017914772,0.0,0.9813143406063318,0.0,61.04977806098759,0.0,2.7851318474859,0.0,40.455611515790224,0.0,117.02674296684563,0.0,10.590019263327122,0.0,1.4142135623730951,0.00022946408599894917,0.0,0.0008993446702059443,0.0,0.002421824384855815,0.0,0.00023148651615012715,0.0,0.005202919297740304,0.0,0.0009705650808825864,0.0,0.016720720840437332,0.0,0.0032637506031195107,0.0,0.002317796196295524,0.0,0.003516824864798897,0.0,0.08134620114431097,0.0,0.005740561509914961,0.0,0.0010514528691374628,0.0,0.01509948483246625,0.0,0.3866965841392753,0.0,0.012834349508613145,0.0,0.3232697778335951,0.0,0.8244620291764303,0.0,0.11046973855831915,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,2.0,0.02520172856748104,24024.0,0.04458879120647907,24024.0,0.09090155363082886,24024.0,0.009325752034783363,192192.0,0.31293835490942,24024.0,0.0,0.0,1.3601889368146658,120120.0,0.5983798298984766,120120.0,0.0,0.0,0.0,0.0,96.44208601675928,120120.0,4.489586642012,120120.0,0.12883497402071953,0.0,0.9957148227840662,0.0,61.14904689602554,0.0,2.791594248265028,0.0,317.63035310432315,0.0,486.94723076187074,0.0,103.31397135742009,0.0,1.4142135623730951,0.0003061506273382851,0.0,0.0022755490314376237,0.0,0.001233023558066385,0.0,0.00019327027004948372,0.0,0.012102910008394165,0.0,0.0,0.0,0.008304927990110787,0.0,0.003381968328112348,0.0,0.0,0.0,0.0,0.0,0.08696425465979311,0.0,0.0028219371363982842,0.0,0.022872056716069265,0.0,0.007495596847001759,0.0,0.08146640158297216,0.0,0.004223070656483953,0.0,0.0706435978636736,0.0,0.15378002521011425,0.0,0.08746124970327175,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,2.0,0.0213713850826025,12012.0,0.04465407691895962,12012.0,0.09223953820765018,12012.0,0.009451014921069145,96096.0,0.3150617703795433,12012.0,0.08400650694966316,852852.0,0.8735692594200373,60060.0,0.5476751830428839,120120.0,0.1766655594110489,120120.0,1.1453099083155394,300300.0,38.74728949740529,120120.0,5.147218378260732,120120.0,0.07999981753528118,0.0,1.0343661531805992,0.0,61.31144114769995,0.0,2.7921986766159534,0.0,311.61450278013945,0.0,425.63686817884445,0.0,47.66270760446787,0.0,1.4142135623730951,0.000750826671352195,0.0,0.001813461529099022,0.0,0.0040798737550034455,0.0,0.0003958951211286507,0.0,0.008617796785803948,0.0,0.0042740220252605,0.0,0.006132855189278724,0.0,0.0027548819877914106,0.0,0.021286210122552583,0.0,0.010439152169758903,0.0,0.04733712726233977,0.0,0.017061236393636412,0.0,0.004866826441908176,0.0,0.05179827219174031,0.0,0.13471349451869719,0.0,0.010602212276679316,0.0,0.050867081046520025,0.0,0.22763303448600125,0.0,0.0631336191311547,0.0
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,2.0,0.02302839420735836,3532.0,0.038642389699816704,3532.0,0.08187321946024895,3532.0,0.009005563333630562,28256.0,0.29785498045384884,3532.0,0.0,0.0,0.5609497427940369,17660.0,0.14171930961310863,17660.0,0.0,0.0,0.0,0.0,64.01710887439549,17660.0,0.8980737067759037,17660.0,0.06154407747089863,0.0,0.9576726704835892,0.0,60.45576683245599,0.0,2.784626744687557,0.0,42.88209122605622,0.0,174.0643068216741,0.0,65.96817718818784,0.0,1.4142135623730951,0.0005176371886434846,0.0,0.0007962398901311236,0.0,0.0007647189330655949,0.0,0.00018022256536019059,0.0,0.006806692227217282,0.0,0.0,0.0,0.0043775755501924965,0.0,0.0011351126863714128,0.0,0.0,0.0,0.0,0.0,0.202144811126111,0.0,0.005128839991512148,0.0,0.000985526976420472,0.0,0.007838680475841341,0.0,0.04500140620883224,0.0,0.008936825430589901,0.0,0.09240320198447165,0.0,0.15603993827973392,0.0,0.19368514922080815,0.0
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,2.0,0.021036574617028236,1766.0,0.043182866647839546,1766.0,0.08945818990468979,1766.0,0.009966734796762466,14128.0,0.3233690280467272,1766.0,0.08566882461309433,125386.0,0.5109673831611872,8830.0,0.15605846419930458,17660.0,0.081954849883914,17660.0,0.32821232452988625,44150.0,9.121565939858556,17660.0,1.033020531758666,17660.0,0.05485466681420803,0.0,1.3111225795000792,0.0,62.01716507785022,0.0,2.7806459926068783,0.0,39.72564414143562,0.0,119.19694882817566,0.0,12.129058223217726,0.0,1.4142135623730951,0.0010021020689468516,0.0,0.0021686704811535716,0.0,0.003060336810405851,0.0,0.0004769731173731689,0.0,0.009031869343261436,0.0,0.005628772138723577,0.0,0.012645969575209024,0.0,0.00039661577664065967,0.0,0.0017026489423289004,0.0,0.0028367200049918377,0.0,0.04971063192124952,0.0,0.005061311575768821,0.0,0.0005269965753476924,0.0,0.1259947278483941,0.0,0.20454876140438238,0.0,0.010084596867131684,0.0,0.05437743204075131,0.0,0.27772484344503484,0.0,0.0629722191739027,0.0
