dataset,sample_id,modal,natoms,num_edges,avg_neighbors_directed,density_bucket,case,label_ko,enable_flash,enable_pair_execution,requested_pair_policy,n_warmup,n_repeat,status,device,resolved_policy,timing_ms,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,speedup_vs_baseline,energy,abs_energy_diff_vs_baseline,max_abs_force_diff_vs_baseline,error_type,error_message
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,208,26.0,small_sparse,sevennet_baseline,기본 SevenNet,False,False,none,1,1,ok,cuda,baseline,155.75965400785208,155.75965400785208,0.0,155.75965400785208,155.75965400785208,120.26840494945645,0.0,1.0,-330.78778076171875,0.0,6.352664172482037e-08,,
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,208,26.0,small_sparse,sevennet_pair_full,제안기법,False,True,full,1,1,ok,cuda,full,117.80237895436585,117.80237895436585,0.0,117.80237895436585,117.80237895436585,198.05535790510476,0.0,1.3222114475989493,-330.78778076171875,0.0,1.1548399925231934e-07,,
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,208,26.0,small_sparse,flashtp_baseline,FlashTP,True,False,none,1,1,ok,cuda,baseline,82.89031498134136,82.89031498134136,0.0,82.89031498134136,82.89031498134136,58.570444118231535,0.0,1.8791055872198534,-330.78778076171875,0.0,1.0034881370302173e-07,,
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,208,26.0,small_sparse,flashtp_pair_full,FlashTP + 제안기법,True,True,full,1,1,ok,cuda,full,81.5643121022731,81.5643121022731,0.0,81.5643121022731,81.5643121022731,59.486472979187965,0.0,1.9096544799218778,-330.78778076171875,0.0,1.2308197483434924e-07,,
qm9_hf,0_3057,qcml,29,570,19.655172413793103,small_sparse,sevennet_baseline,기본 SevenNet,False,False,none,1,1,ok,cuda,baseline,157.48235606588423,157.48235606588423,0.0,157.48235606588423,157.48235606588423,122.67884286120534,0.0,1.0,-9658.6982421875,0.0,4.76837158203125e-07,,
qm9_hf,0_3057,qcml,29,570,19.655172413793103,small_sparse,sevennet_pair_full,제안기법,False,True,full,1,1,ok,cuda,full,118.76970413140953,118.76970413140953,0.0,118.76970413140953,118.76970413140953,199.4976808782667,0.0,1.3259471951840693,-9658.6982421875,0.0,1.0505318641662598e-06,,
qm9_hf,0_3057,qcml,29,570,19.655172413793103,small_sparse,flashtp_baseline,FlashTP,True,False,none,1,1,ok,cuda,baseline,81.77105407230556,81.77105407230556,0.0,81.77105407230556,81.77105407230556,59.170245192945,0.0,1.925893677812095,-9658.6982421875,0.0,6.48200511932373e-07,,
qm9_hf,0_3057,qcml,29,570,19.655172413793103,small_sparse,flashtp_pair_full,FlashTP + 제안기법,True,True,full,1,1,ok,cuda,full,81.83554210700095,81.83554210700095,0.0,81.83554210700095,81.83554210700095,60.33557699993253,0.0,1.9243760352925159,-9658.6982421875,0.0,8.121132850646973e-07,,
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,728,8.179775280898877,small_sparse,sevennet_baseline,기본 SevenNet,False,False,none,1,1,ok,cuda,baseline,157.98291191458702,157.98291191458702,0.0,157.98291191458702,157.98291191458702,122.84543993882835,0.0,1.0,-60925.50390625,0.0,9.5367431640625e-07,,
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,728,8.179775280898877,small_sparse,sevennet_pair_full,제안기법,False,True,full,1,1,ok,cuda,full,119.86474017612636,119.86474017612636,0.0,119.86474017612636,119.86474017612636,201.34097314439714,0.0,1.3180098808244254,-60925.50390625,0.0,1.430511474609375e-06,,
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,728,8.179775280898877,small_sparse,flashtp_baseline,FlashTP,True,False,none,1,1,ok,cuda,baseline,82.48605416156352,82.48605416156352,0.0,82.48605416156352,82.48605416156352,60.94072503037751,0.0,1.9152681446629702,-60925.50390625,0.0,1.1920928955078125e-06,,
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,728,8.179775280898877,small_sparse,flashtp_pair_full,FlashTP + 제안기법,True,True,full,1,1,ok,cuda,full,83.14173994585872,83.14173994585872,0.0,83.14173994585872,83.14173994585872,61.80762010626495,0.0,1.9001636484570124,-60925.50390625,0.0,9.5367431640625e-07,,
wbm_initial,wbm_initial:23057,matpes_pbe,100,2260,22.6,small_sparse,sevennet_baseline,기본 SevenNet,False,False,none,1,1,ok,cuda,baseline,157.55061921663582,157.55061921663582,0.0,157.55061921663582,157.55061921663582,127.26331013254821,0.0,1.0,-437.61041259765625,0.0,4.172325134277344e-07,,
wbm_initial,wbm_initial:23057,matpes_pbe,100,2260,22.6,small_sparse,sevennet_pair_full,제안기법,False,True,full,1,1,ok,cuda,full,118.52904409170151,118.52904409170151,0.0,118.52904409170151,118.52904409170151,202.7551659848541,0.0,1.3292153026623987,-437.61041259765625,0.0,6.854534149169922e-07,,
wbm_initial,wbm_initial:23057,matpes_pbe,100,2260,22.6,small_sparse,flashtp_baseline,FlashTP,True,False,none,1,1,ok,cuda,baseline,81.5864079631865,81.5864079631865,0.0,81.5864079631865,81.5864079631865,59.94132813066244,0.0,1.9310890520848272,-437.61041259765625,0.0,5.364418029785156e-07,,
wbm_initial,wbm_initial:23057,matpes_pbe,100,2260,22.6,small_sparse,flashtp_pair_full,FlashTP + 제안기법,True,True,full,1,1,ok,cuda,full,82.21813896670938,82.21813896670938,0.0,82.21813896670938,82.21813896670938,61.13021192140877,0.0,1.9162513430330628,-437.61041259765625,0.0,5.662441253662109e-07,,
