quadrant,dataset,lmax,stage_group,mean_ms,std_ms
large_sparse,oc20_s2ef_train_20m,2,force_output_ms,4.181470877180497,0.09708864285795067
large_sparse,oc20_s2ef_train_20m,2,gather_total_ms,0.15708408318459988,0.0032660874820316806
large_sparse,oc20_s2ef_train_20m,2,model_total_ms,7.119322591461241,0.08870638390556558
large_sparse,oc20_s2ef_train_20m,2,other_ms,1.651213108561933,0.03998555117398979
large_sparse,oc20_s2ef_train_20m,2,radial_total_ms,0.10434897461285193,0.018180281711456987
large_sparse,oc20_s2ef_train_20m,2,spherical_harmonics_ms,0.16407602621863285,0.04402494351280932
large_sparse,oc20_s2ef_train_20m,2,tp_total_ms,0.6341663111622134,0.018415453761495955
large_sparse,oc20_s2ef_train_20m,2,weight_nn_total_ms,0.2269632105405132,0.007249886334693517
large_sparse,oc20_s2ef_train_20m,3,force_output_ms,6.249583054644366,0.05433000632256334
large_sparse,oc20_s2ef_train_20m,3,gather_total_ms,0.19045951776206493,0.006687885640485721
large_sparse,oc20_s2ef_train_20m,3,model_total_ms,10.173424612730742,0.09994721588479591
large_sparse,oc20_s2ef_train_20m,3,other_ms,1.917831568668286,0.04415758022861295
large_sparse,oc20_s2ef_train_20m,3,radial_total_ms,0.09733315867682298,0.007052756959792637
large_sparse,oc20_s2ef_train_20m,3,spherical_harmonics_ms,0.23172646760940552,0.04450757896666623
large_sparse,oc20_s2ef_train_20m,3,tp_total_ms,1.250983402132988,0.02446709594882851
large_sparse,oc20_s2ef_train_20m,3,weight_nn_total_ms,0.23550744323680797,0.00994691996798572
large_sparse,oc20_s2ef_train_20m,4,force_output_ms,10.448151656116048,0.04136148023429888
large_sparse,oc20_s2ef_train_20m,4,gather_total_ms,0.3317414550110698,0.007273522776885781
large_sparse,oc20_s2ef_train_20m,4,model_total_ms,16.45315964706242,0.10679957258901174
large_sparse,oc20_s2ef_train_20m,4,other_ms,2.313937650372585,0.06168512656274409
large_sparse,oc20_s2ef_train_20m,4,radial_total_ms,0.09838722180575132,0.005299695861421559
large_sparse,oc20_s2ef_train_20m,4,spherical_harmonics_ms,0.47490439222504693,0.048012085631180104
large_sparse,oc20_s2ef_train_20m,4,tp_total_ms,2.5290325516834855,0.015286710636437877
large_sparse,oc20_s2ef_train_20m,4,weight_nn_total_ms,0.25700471984843415,0.010838793760648365
large_sparse,oc20_s2ef_train_20m,5,force_output_ms,26.476830795096856,0.06681358933954722
large_sparse,oc20_s2ef_train_20m,5,gather_total_ms,0.5201139254495502,0.013856604671162702
large_sparse,oc20_s2ef_train_20m,5,model_total_ms,35.862777793469526,0.16066314660971748
large_sparse,oc20_s2ef_train_20m,5,other_ms,2.668918459676206,0.11373018359023007
large_sparse,oc20_s2ef_train_20m,5,radial_total_ms,0.10394816442082326,0.009689569488424195
large_sparse,oc20_s2ef_train_20m,5,spherical_harmonics_ms,0.798735519250234,0.08161930625869109
large_sparse,oc20_s2ef_train_20m,5,tp_total_ms,5.015999854852756,0.024705552510896428
large_sparse,oc20_s2ef_train_20m,5,weight_nn_total_ms,0.27823107472310465,0.01333420416308086
large_sparse,oc20_s2ef_train_20m,6,force_output_ms,63.02471772457162,0.09735032575821698
large_sparse,oc20_s2ef_train_20m,6,gather_total_ms,0.80495933846881,0.009628508282540376
large_sparse,oc20_s2ef_train_20m,6,model_total_ms,77.8584448620677,0.22589617279392196
