repeat,stage,time_ms,quadrant,dataset,lmax
6,0_convolution.denominator_ms,0.008871080353856087,small_sparse,spice_2023,1
6,1_convolution.weight_nn_ms,0.08107000030577183,small_sparse,spice_2023,1
6,1_convolution.src_gather_ms,0.01171301119029522,small_sparse,spice_2023,1
6,1_convolution.message_tp_ms,0.19085407257080078,small_sparse,spice_2023,1
6,1_convolution.aggregation_ms,0.03605801612138748,small_sparse,spice_2023,1
6,1_convolution.denominator_ms,0.008643139153718948,small_sparse,spice_2023,1
6,2_convolution.weight_nn_ms,0.07373793050646782,small_sparse,spice_2023,1
6,2_convolution.src_gather_ms,0.01092301681637764,small_sparse,spice_2023,1
6,2_convolution.message_tp_ms,0.09167403914034367,small_sparse,spice_2023,1
6,2_convolution.aggregation_ms,0.033702002838253975,small_sparse,spice_2023,1
6,2_convolution.denominator_ms,0.008493894711136818,small_sparse,spice_2023,1
6,top_force_output_ms,2.698162803426385,small_sparse,spice_2023,1
6,model_total_ms,5.006036954000592,small_sparse,spice_2023,1
7,edge_length_norm_ms,0.014432007446885109,small_sparse,spice_2023,1
7,radial_basis_ms,0.029411865398287773,small_sparse,spice_2023,1
7,cutoff_ms,0.05885097198188305,small_sparse,spice_2023,1
7,radial_combine_ms,0.007594935595989227,small_sparse,spice_2023,1
7,spherical_harmonics_ms,0.07378100417554379,small_sparse,spice_2023,1
7,0_convolution.weight_nn_ms,0.07893098518252373,small_sparse,spice_2023,1
7,0_convolution.src_gather_ms,0.01109694130718708,small_sparse,spice_2023,1
7,0_convolution.message_tp_ms,0.08108699694275856,small_sparse,spice_2023,1
7,0_convolution.aggregation_ms,0.03443285822868347,small_sparse,spice_2023,1
7,0_convolution.denominator_ms,0.008248025551438332,small_sparse,spice_2023,1
7,1_convolution.weight_nn_ms,0.07324013859033585,small_sparse,spice_2023,1
7,1_convolution.src_gather_ms,0.011076917871832848,small_sparse,spice_2023,1
7,1_convolution.message_tp_ms,0.17865910194814205,small_sparse,spice_2023,1
7,1_convolution.aggregation_ms,0.035624951124191284,small_sparse,spice_2023,1
7,1_convolution.denominator_ms,0.008465023711323738,small_sparse,spice_2023,1
7,2_convolution.weight_nn_ms,0.07312907837331295,small_sparse,spice_2023,1
7,2_convolution.src_gather_ms,0.01123291440308094,small_sparse,spice_2023,1
7,2_convolution.message_tp_ms,0.09171292185783386,small_sparse,spice_2023,1
7,2_convolution.aggregation_ms,0.03370409831404686,small_sparse,spice_2023,1
7,2_convolution.denominator_ms,0.008388189598917961,small_sparse,spice_2023,1
7,top_force_output_ms,2.7205608785152435,small_sparse,spice_2023,1
7,model_total_ms,4.937108838930726,small_sparse,spice_2023,1
8,edge_length_norm_ms,0.014824094250798225,small_sparse,spice_2023,1
8,radial_basis_ms,0.03039487637579441,small_sparse,spice_2023,1
8,cutoff_ms,0.05331891588866711,small_sparse,spice_2023,1
8,radial_combine_ms,0.007712980732321739,small_sparse,spice_2023,1
8,spherical_harmonics_ms,0.06888899952173233,small_sparse,spice_2023,1
8,0_convolution.weight_nn_ms,0.09145005606114864,small_sparse,spice_2023,1
8,0_convolution.src_gather_ms,0.011228956282138824,small_sparse,spice_2023,1
8,0_convolution.message_tp_ms,0.08239992894232273,small_sparse,spice_2023,1
8,0_convolution.aggregation_ms,0.03360607661306858,small_sparse,spice_2023,1
8,0_convolution.denominator_ms,0.008189817890524864,small_sparse,spice_2023,1
8,1_convolution.weight_nn_ms,0.07438100874423981,small_sparse,spice_2023,1
