system,category,case,mode,repeat,stage,ms,num_edges,num_pairs
dimer_small,small_sparse,baseline,forward_energy,7,conv_src_gather_ms,0.03290199674665928,2,0
dimer_small,small_sparse,baseline,forward_energy,7,conv_message_tp_ms,0.5965130403637886,2,0
dimer_small,small_sparse,baseline,forward_energy,7,conv_message_gather_ms,0.12920075096189976,2,0
dimer_small,small_sparse,baseline,forward_energy,7,model_total_ms,2.8303139843046665,2,0
dimer_small,small_sparse,baseline,forward_energy,8,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,8,edge_length_norm_ms,0.013236887753009796,2,0
dimer_small,small_sparse,baseline,forward_energy,8,radial_basis_cutoff_ms,0.08185207843780518,2,0
dimer_small,small_sparse,baseline,forward_energy,8,spherical_harmonics_ms,0.07751397788524628,2,0
dimer_small,small_sparse,baseline,forward_energy,8,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,8,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,8,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,8,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,8,conv_weight_nn_ms,0.2069016918540001,2,0
dimer_small,small_sparse,baseline,forward_energy,8,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,8,conv_src_gather_ms,0.032673124223947525,2,0
dimer_small,small_sparse,baseline,forward_energy,8,conv_message_tp_ms,0.5680008325725794,2,0
dimer_small,small_sparse,baseline,forward_energy,8,conv_message_gather_ms,0.10380707681179047,2,0
dimer_small,small_sparse,baseline,forward_energy,8,model_total_ms,2.718689851462841,2,0
dimer_small,small_sparse,baseline,forward_energy,9,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,9,edge_length_norm_ms,0.013028038665652275,2,0
dimer_small,small_sparse,baseline,forward_energy,9,radial_basis_cutoff_ms,0.09659910574555397,2,0
dimer_small,small_sparse,baseline,forward_energy,9,spherical_harmonics_ms,0.1304780598729849,2,0
dimer_small,small_sparse,baseline,forward_energy,9,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,9,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,9,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,9,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,9,conv_weight_nn_ms,0.207534059882164,2,0
dimer_small,small_sparse,baseline,forward_energy,9,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,9,conv_src_gather_ms,0.032221898436546326,2,0
dimer_small,small_sparse,baseline,forward_energy,9,conv_message_tp_ms,0.573157100006938,2,0
dimer_small,small_sparse,baseline,forward_energy,9,conv_message_gather_ms,0.10575191117823124,2,0
dimer_small,small_sparse,baseline,forward_energy,9,model_total_ms,2.7790269814431667,2,0
dimer_small,small_sparse,baseline,forward_energy,10,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,10,edge_length_norm_ms,0.013007083907723427,2,0
dimer_small,small_sparse,baseline,forward_energy,10,radial_basis_cutoff_ms,0.08413498289883137,2,0
dimer_small,small_sparse,baseline,forward_energy,10,spherical_harmonics_ms,0.07753097452223301,2,0
dimer_small,small_sparse,baseline,forward_energy,10,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,10,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,10,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,10,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,10,conv_weight_nn_ms,0.20646885968744755,2,0
dimer_small,small_sparse,baseline,forward_energy,10,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,10,conv_src_gather_ms,0.032303156331181526,2,0
dimer_small,small_sparse,baseline,forward_energy,10,conv_message_tp_ms,0.5672289989888668,2,0
dimer_small,small_sparse,baseline,forward_energy,10,conv_message_gather_ms,0.10341638699173927,2,0
dimer_small,small_sparse,baseline,forward_energy,10,model_total_ms,2.706871833652258,2,0
dimer_small,small_sparse,baseline,forward_energy,11,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,11,edge_length_norm_ms,0.013494864106178284,2,0
dimer_small,small_sparse,baseline,forward_energy,11,radial_basis_cutoff_ms,0.08330796845257282,2,0
dimer_small,small_sparse,baseline,forward_energy,11,spherical_harmonics_ms,0.08084787987172604,2,0
dimer_small,small_sparse,baseline,forward_energy,11,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,11,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,11,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,11,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,11,conv_weight_nn_ms,0.21629687398672104,2,0
dimer_small,small_sparse,baseline,forward_energy,11,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,11,conv_src_gather_ms,0.03260886296629906,2,0
dimer_small,small_sparse,baseline,forward_energy,11,conv_message_tp_ms,0.5813140887767076,2,0
dimer_small,small_sparse,baseline,forward_energy,11,conv_message_gather_ms,0.10605622082948685,2,0
dimer_small,small_sparse,baseline,forward_energy,11,model_total_ms,2.7630000840872526,2,0
dimer_small,small_sparse,baseline,forward_energy,12,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,12,edge_length_norm_ms,0.013035023584961891,2,0
dimer_small,small_sparse,baseline,forward_energy,12,radial_basis_cutoff_ms,0.09365705773234367,2,0
dimer_small,small_sparse,baseline,forward_energy,12,spherical_harmonics_ms,0.1234209630638361,2,0
dimer_small,small_sparse,baseline,forward_energy,12,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,12,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,12,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,12,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,12,conv_weight_nn_ms,0.22156117483973503,2,0
dimer_small,small_sparse,baseline,forward_energy,12,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,12,conv_src_gather_ms,0.033032847568392754,2,0
dimer_small,small_sparse,baseline,forward_energy,12,conv_message_tp_ms,0.5842319224029779,2,0
dimer_small,small_sparse,baseline,forward_energy,12,conv_message_gather_ms,0.10516494512557983,2,0
dimer_small,small_sparse,baseline,forward_energy,12,model_total_ms,2.8024399653077126,2,0
dimer_small,small_sparse,baseline,forward_energy,13,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,13,edge_length_norm_ms,0.013355165719985962,2,0
dimer_small,small_sparse,baseline,forward_energy,13,radial_basis_cutoff_ms,0.0795009545981884,2,0
dimer_small,small_sparse,baseline,forward_energy,13,spherical_harmonics_ms,0.07693306542932987,2,0
dimer_small,small_sparse,baseline,forward_energy,13,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,13,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,13,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,13,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,13,conv_weight_nn_ms,0.2409128937870264,2,0
dimer_small,small_sparse,baseline,forward_energy,13,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,13,conv_src_gather_ms,0.049930065870285034,2,0
dimer_small,small_sparse,baseline,forward_energy,13,conv_message_tp_ms,0.5999698769301176,2,0
dimer_small,small_sparse,baseline,forward_energy,13,conv_message_gather_ms,0.11281203478574753,2,0
dimer_small,small_sparse,baseline,forward_energy,13,model_total_ms,2.838277956470847,2,0
dimer_small,small_sparse,baseline,forward_energy,14,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,14,edge_length_norm_ms,0.013361917808651924,2,0
dimer_small,small_sparse,baseline,forward_energy,14,radial_basis_cutoff_ms,0.09552505798637867,2,0
dimer_small,small_sparse,baseline,forward_energy,14,spherical_harmonics_ms,0.12614508159458637,2,0
dimer_small,small_sparse,baseline,forward_energy,14,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,14,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,14,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,14,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,14,conv_weight_nn_ms,0.20788190886378288,2,0
dimer_small,small_sparse,baseline,forward_energy,14,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,14,conv_src_gather_ms,0.03235391341149807,2,0
dimer_small,small_sparse,baseline,forward_energy,14,conv_message_tp_ms,0.579385319724679,2,0
dimer_small,small_sparse,baseline,forward_energy,14,conv_message_gather_ms,0.1061467919498682,2,0
dimer_small,small_sparse,baseline,forward_energy,14,model_total_ms,2.797564957290888,2,0
dimer_small,small_sparse,baseline,forward_energy,15,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,15,edge_length_norm_ms,0.01340196467936039,2,0
dimer_small,small_sparse,baseline,forward_energy,15,radial_basis_cutoff_ms,0.08189096115529537,2,0
dimer_small,small_sparse,baseline,forward_energy,15,spherical_harmonics_ms,0.07740897126495838,2,0
dimer_small,small_sparse,baseline,forward_energy,15,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,15,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,15,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,15,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,15,conv_weight_nn_ms,0.20699994638562202,2,0
dimer_small,small_sparse,baseline,forward_energy,15,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,15,conv_src_gather_ms,0.03283005207777023,2,0
dimer_small,small_sparse,baseline,forward_energy,15,conv_message_tp_ms,0.5944529548287392,2,0
dimer_small,small_sparse,baseline,forward_energy,15,conv_message_gather_ms,0.13221683911979198,2,0
dimer_small,small_sparse,baseline,forward_energy,15,model_total_ms,2.811493119224906,2,0
dimer_small,small_sparse,baseline,forward_energy,16,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,16,edge_length_norm_ms,0.013678101822733879,2,0
dimer_small,small_sparse,baseline,forward_energy,16,radial_basis_cutoff_ms,0.09505893103778362,2,0
dimer_small,small_sparse,baseline,forward_energy,16,spherical_harmonics_ms,0.13035698793828487,2,0
dimer_small,small_sparse,baseline,forward_energy,16,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,16,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,16,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,16,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,16,conv_weight_nn_ms,0.24413689970970154,2,0
dimer_small,small_sparse,baseline,forward_energy,16,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,16,conv_src_gather_ms,0.03310712054371834,2,0
dimer_small,small_sparse,baseline,forward_energy,16,conv_message_tp_ms,0.5844950210303068,2,0
dimer_small,small_sparse,baseline,forward_energy,16,conv_message_gather_ms,0.12201489880681038,2,0
dimer_small,small_sparse,baseline,forward_energy,16,model_total_ms,2.8803490567952394,2,0
dimer_small,small_sparse,baseline,forward_energy,17,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,17,edge_length_norm_ms,0.013147946447134018,2,0
dimer_small,small_sparse,baseline,forward_energy,17,radial_basis_cutoff_ms,0.08085602894425392,2,0
dimer_small,small_sparse,baseline,forward_energy,17,spherical_harmonics_ms,0.07643201388418674,2,0
dimer_small,small_sparse,baseline,forward_energy,17,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,17,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,17,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,17,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,17,conv_weight_nn_ms,0.20722905173897743,2,0
dimer_small,small_sparse,baseline,forward_energy,17,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,17,conv_src_gather_ms,0.03283587284386158,2,0
dimer_small,small_sparse,baseline,forward_energy,17,conv_message_tp_ms,0.5784672684967518,2,0
dimer_small,small_sparse,baseline,forward_energy,17,conv_message_gather_ms,0.10409299284219742,2,0
dimer_small,small_sparse,baseline,forward_energy,17,model_total_ms,2.7140621095895767,2,0
dimer_small,small_sparse,baseline,forward_energy,18,edge_pair_vec_select_ms,0.0,2,0
