dataset,sample_id,modal,natoms,case,resolved_policy,n_warmup,n_repeat,device,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,abs_energy_diff_vs_e3nn,max_abs_force_diff_vs_e3nn
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,full,3,10,cuda,97.54667624365538,0.3206959747411525,97.63162618037313,97.90260972222313,188.24289389885962,78.31887578017408,0.0,2.473592758178711e-06
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,baseline,3,10,cuda,29.379466292448342,0.2878755598836471,29.395420104265213,29.82837304007262,112.34351713210344,40.15425018670154,0.0,9.5367431640625e-07
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,full,3,10,cuda,49.15021285414696,1.853752748278968,48.15044708084315,52.80320073943585,135.39379827367762,54.76477983836652,0.0,1.0132789611816406e-06
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,baseline,3,10,cuda,367.5480339676142,0.10648078607632383,367.5759679172188,367.67928384942934,416.4454309114565,31.321374673005984,0.0,2.384185791015625e-06
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,full,3,10,cuda,363.698288006708,0.21932637883359382,363.69007593020797,364.0094335889444,481.55527499814826,128.00425586699373,0.0,3.5762786865234375e-06
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,baseline,3,10,cuda,51.79843730293214,0.0718455904984694,51.766089047305286,51.90617456100881,125.48361198666196,46.368006858130244,0.0,1.430511474609375e-06
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,full,3,10,cuda,53.115194872953,0.39346336155287687,53.02906990982592,53.699440020136535,144.4255312283834,62.21840896085809,0.0,1.9073486328125e-06
mptrj,mp-1204603,mpa,444,e3nn_baseline,baseline,3,10,cuda,425.4814149811864,0.136312547353129,425.52023043390363,425.6469504442066,470.8469746789585,29.23184216193754,0.0,1.430511474609375e-06
mptrj,mp-1204603,mpa,444,e3nn_pair_full,full,3,10,cuda,420.71126175578684,0.23763271338445394,420.763507951051,421.0405820282176,543.9308440157523,137.8269945803794,0.0,2.1085143089294434e-06
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,baseline,3,10,cuda,125.48037192318588,0.11762951672935287,125.51470391917974,125.61236824840307,193.88915854506195,43.98205586970199,0.0,7.003545761108398e-07
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,full,3,10,cuda,118.98749540559947,0.24489263756469568,118.92129702027887,119.37122767558321,211.33615402504802,82.76819469572776,0.0,1.1473894119262695e-06
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,baseline,3,10,cuda,163.39146797545254,0.1850424872509146,163.35948451887816,163.6686337646097,228.48468529991806,41.72885298630854,0.0,5.848705768585205e-07
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,full,3,10,cuda,160.5273093096912,0.20257005033564005,160.53532692603767,160.8007938717492,257.111554654936,90.15913224032441,0.0,8.530914783477783e-07
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,e3nn_baseline,baseline,3,10,cuda,230.7244974654168,0.24885386937104506,230.6811058660969,231.11348785459995,290.9300276854386,38.46201976326754,0.0,7.897615432739258e-07
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,e3nn_pair_full,full,3,10,cuda,227.48780974652618,0.27217518191151735,227.45743906125426,227.86053438903764,331.40220477556187,101.72722894749941,0.0,2.175569534301758e-06
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,e3nn_baseline,baseline,3,10,cuda,102.85658675711602,0.184249529304664,102.83112444449216,103.178493573796,172.3806137063851,44.58459321469092,0.0,7.450580596923828e-07
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,e3nn_pair_full,full,3,10,cuda,96.57067931257188,1.0102131978993734,96.2653859751299,98.2273097615689,187.08669440820813,78.2973028385659,0.0,1.1324882507324219e-06
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,e3nn_baseline,baseline,3,10,cuda,174.43758137524128,0.14879398450797973,174.4422559859231,174.64540564687923,238.70072001591325,41.07416591863243,0.0,1.1324882507324219e-06
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,e3nn_pair_full,full,3,10,cuda,171.83799822814763,0.19153867946609066,171.80490458849818,172.12562877684832,268.803763591374,91.40632613411046,0.0,1.519918441772461e-06
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,e3nn_baseline,baseline,3,10,cuda,156.07421009335667,0.12201798705171024,156.05198254343122,156.27676935400814,221.88666951842606,42.08416440304206,0.0,4.76837158203125e-07
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,e3nn_pair_full,full,3,10,cuda,152.63956461567432,0.2764868540560833,152.61475706938654,153.0339122749865,248.0550849965463,88.47222163834054,0.0,8.046627044677734e-07
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,baseline,3,10,cuda,216.1639423109591,0.11484698884683922,216.16374398581684,216.31225306773558,277.26289443671703,39.02056972240174,0.0,1.3262033462524414e-06
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,full,3,10,cuda,213.47033116035163,0.21806601697149589,213.56464037671685,213.6848958558403,315.0636443557839,99.23441655822741,0.0,2.171844244003296e-06
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,e3nn_baseline,baseline,3,10,cuda,179.0389308007434,0.1588759606073099,179.06529654283077,179.25733744632453,243.9100285215924,41.5201996940129,0.0,7.62939453125e-06
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,e3nn_pair_full,full,3,10,cuda,176.91849265247583,0.6182791296846062,176.7939724959433,177.93766401009634,274.57756362855434,93.29048444584156,0.0,8.58306884765625e-06
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,e3nn_baseline,baseline,3,10,cuda,280.3009585943073,0.09874459662493398,280.2904719719663,280.43646754231304,336.0961600362013,35.990591798088296,0.0,1.0542571544647217e-06
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,e3nn_pair_full,full,3,10,cuda,277.4118079803884,0.24150386416606304,277.4589174659923,277.73507076781243,384.9789860347907,110.603307004351,0.0,1.9744038581848145e-06
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,baseline,3,10,cuda,232.52108281012625,0.2556810438126654,232.48207301367074,232.9390323255211,292.822717068096,38.69570288750068,6.103515625e-05,6.103515625e-05
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,full,3,10,cuda,229.51046687085181,0.2998438861769821,229.49450835585594,229.9157684086822,333.36842626643676,102.73244889165547,6.103515625e-05,0.00018310546875
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,baseline,3,10,cuda,293.36429168470204,0.18183724934052942,293.3168029412627,293.7003505299799,347.7100763314714,34.697741883519456,0.0,1.6689300537109375e-06
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,full,3,10,cuda,290.3214715886861,0.2130697952599342,290.30233656521887,290.63919094624,405.34177601026994,108.68264226002744,0.0,2.6226043701171875e-06
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,baseline,3,10,cuda,150.31542009674013,0.1372316907172892,150.24656592868268,150.53075118921697,216.25952259637415,42.23310386992772,0.0,7.62939453125e-06
