dataset,sample_id,natoms,case,stage,time_ms,calls,load
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.forward_message_tp_ms,0.4821729962714016,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.forward_src_gather_ms,0.0171019928529858,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.forward_src_index_ms,0.016034988220781,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.reverse_aggregation_ms,0.1836789888329804,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.reverse_dst_index_ms,0.0081749749369919,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.reverse_filter_gather_ms,0.0095069990493357,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.reverse_message_tp_ms,0.4570279852487147,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.reverse_src_gather_ms,0.0162780052050948,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.reverse_src_index_ms,0.0095950090326368,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.reverse_weight_select_ms,0.0484450138173997,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.weight_nn_ms,0.1310320221818983,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.denominator_ms,0.0165520468726754,1.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.forward_aggregation_ms,0.5732940044254065,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.forward_dst_index_ms,0.0081670004874467,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.forward_filter_gather_ms,0.01054402673617,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.forward_message_tp_ms,4.299738968256861,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.forward_src_gather_ms,0.0543309724889695,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.forward_src_index_ms,0.0131130218505859,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_aggregation_ms,0.5991790094412863,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_dst_index_ms,0.0071750255301594,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_filter_gather_ms,0.0110300024971365,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_message_tp_ms,4.314771038480103,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_src_gather_ms,0.0500250025652349,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_src_index_ms,0.0099910539574921,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_weight_select_ms,0.2092979848384857,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.weight_nn_ms,0.1780050224624574,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.denominator_ms,0.0221990048885345,1.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.forward_aggregation_ms,0.9495659614913166,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.forward_dst_index_ms,0.008219969458878,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.forward_filter_gather_ms,0.0111399567686021,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.forward_message_tp_ms,8.369171002414078,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.forward_src_gather_ms,0.0929399975575506,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.forward_src_index_ms,0.0165500096045434,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_aggregation_ms,1.0425479849800467,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_dst_index_ms,0.0073579722084105,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_filter_gather_ms,0.0110710388980805,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_message_tp_ms,8.370598021429032,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_src_gather_ms,0.0866230111569166,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_src_index_ms,0.0106219667941331,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_weight_select_ms,0.3652359591796994,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.weight_nn_ms,0.2554139937274158,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.denominator_ms,0.0237780041061341,1.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.forward_aggregation_ms,1.0802530450746417,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.forward_dst_index_ms,0.0083069899119436,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.forward_filter_gather_ms,0.0116120208986103,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.forward_message_tp_ms,8.845353964716196,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.forward_src_gather_ms,0.1042649964801967,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.forward_src_index_ms,0.0159999472089111,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.reverse_aggregation_ms,1.221991959027946,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.reverse_dst_index_ms,0.0075710122473537,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.reverse_filter_gather_ms,0.0114110298454761,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.reverse_message_tp_ms,8.841684029903263,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.reverse_src_gather_ms,0.0965119688771665,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.reverse_src_index_ms,0.0103949569165706,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.reverse_weight_select_ms,0.4270370118319988,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.weight_nn_ms,0.280648993793875,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.denominator_ms,0.0101629993878304,1.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.forward_aggregation_ms,0.0517729786224663,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.forward_dst_index_ms,0.0081440084613859,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.forward_filter_gather_ms,0.0109109678305685,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.forward_message_tp_ms,0.1919789938256144,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.forward_src_gather_ms,0.0542849884368479,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.forward_src_index_ms,0.016483012586832,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.reverse_aggregation_ms,0.099505006801337,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.reverse_dst_index_ms,0.008262984920293,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.reverse_filter_gather_ms,0.0595469609834253,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.reverse_message_tp_ms,0.1826509833335876,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.reverse_src_gather_ms,0.0542669440619647,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.reverse_src_index_ms,0.0098180025815963,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.reverse_weight_select_ms,0.0363910221494734,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,4_convolution.weight_nn_ms,0.1019570045173168,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,edge_embedding.cutoff_ms,0.0949849491007626,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,edge_embedding.edge_attr_expand_ms,0.0111270346678793,1.0,27612.0
mptrj,mp-1204603,444,e3nn_pair_full,edge_embedding.edge_attr_sign_apply_ms,0.0096030416898429,1.0,441792.0
mptrj,mp-1204603,444,e3nn_pair_full,edge_embedding.edge_embedding_expand_ms,0.0108110252767801,1.0,27612.0
mptrj,mp-1204603,444,e3nn_pair_full,edge_embedding.edge_length_expand_ms,0.027953996323049,1.0,27612.0
mptrj,mp-1204603,444,e3nn_pair_full,edge_embedding.edge_length_norm_ms,0.0224480172619223,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,edge_embedding.pair_vec_select_ms,0.0189580023288726,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,edge_embedding.radial_basis_ms,0.0466079800389707,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,edge_embedding.radial_combine_ms,0.0087090302258729,1.0,110448.0
mptrj,mp-1204603,444,e3nn_pair_full,edge_embedding.reverse_sign_ms,0.0458610011264681,1.0,441792.0
mptrj,mp-1204603,444,e3nn_pair_full,edge_embedding.spherical_harmonics_ms,141.58271899214014,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,top_force_output_ms,488.15992596792057,1.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,top_input_embedding_ms,1.0722189908847213,3.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,top_interaction_other_ms,61.100935155991465,25.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,top_readout_ms,2.79379787389189,4.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,0_convolution.aggregation_ms,0.3027870552614331,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,0_convolution.denominator_ms,0.0139590119943022,1.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,0_convolution.edge_src_gather_ms,0.0370609923265874,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,0_convolution.message_tp_ms,3.3694240264594555,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,0_convolution.weight_nn_ms,0.1860589836724102,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,1_convolution.aggregation_ms,0.901136954780668,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,1_convolution.denominator_ms,0.0220079673454165,1.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,1_convolution.edge_src_gather_ms,0.1063690287992358,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,1_convolution.message_tp_ms,19.023993983864784,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,1_convolution.weight_nn_ms,0.2933359937742352,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,2_convolution.aggregation_ms,1.511351962108165,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,2_convolution.denominator_ms,0.0313959899358451,1.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,2_convolution.edge_src_gather_ms,0.1732970122247934,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,2_convolution.message_tp_ms,34.72138900542632,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,2_convolution.weight_nn_ms,0.3814289811998606,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,3_convolution.aggregation_ms,1.7296060104854405,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,3_convolution.denominator_ms,0.0351049820892512,1.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,3_convolution.edge_src_gather_ms,0.1917280023917555,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,3_convolution.message_tp_ms,36.73448198242113,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,3_convolution.weight_nn_ms,0.4346600035205483,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,4_convolution.aggregation_ms,0.0645790132693946,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,4_convolution.denominator_ms,0.0115199945867061,1.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,4_convolution.edge_src_gather_ms,0.1000250340439379,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,4_convolution.message_tp_ms,3.1427759677171707,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,4_convolution.weight_nn_ms,0.1166469883173704,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,edge_embedding.cutoff_ms,0.0901080202311277,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,edge_embedding.edge_length_norm_ms,0.026381982024759,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,edge_embedding.radial_basis_ms,0.0440830481238663,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,edge_embedding.radial_combine_ms,0.0087390071712434,1.0,192192.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,edge_embedding.spherical_harmonics_ms,226.4112390112132,1.0,24024.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,top_force_output_ms,460.3647720068693,1.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,top_input_embedding_ms,1.089501951355487,3.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,top_interaction_other_ms,61.19251507334411,25.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,top_readout_ms,2.867425966542214,4.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.denominator_ms,0.0113809946924448,1.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.forward_aggregation_ms,0.1618710230104625,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.forward_dst_index_ms,0.0079240417107939,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.forward_filter_gather_ms,0.0093869748525321,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.forward_message_tp_ms,0.4302029847167432,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.forward_src_gather_ms,0.0150510459206998,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.forward_src_index_ms,0.0135379959829151,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.reverse_aggregation_ms,0.159893010277301,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.reverse_dst_index_ms,0.0082870246842503,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.reverse_filter_gather_ms,0.0097000156529247,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.reverse_message_tp_ms,0.4095679614692926,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.reverse_src_gather_ms,0.0151279964484274,1.0,12012.0
