dataset,sample_id,modal,natoms,case,n_warmup,n_repeat,device,resolved_policy,abs_energy_diff_mean,abs_energy_diff_std,abs_energy_diff_max,max_force_diff_mean,max_force_diff_std,max_force_diff_max,mean_force_diff_mean,mean_force_diff_std,mean_force_diff_max
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,2,10,cuda,baseline,5.4931640625e-05,1.8310546875000003e-05,6.103515625e-05,8.698552846908569e-07,1.0206547613143203e-07,9.834766387939453e-07,1.4415519729027436e-07,3.870797414233512e-09,1.5045624479625985e-07
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,2,10,cuda,full,4.2724609375e-05,2.7969822356908206e-05,6.103515625e-05,1.1067837476730348e-06,1.2117734318580515e-07,1.430511474609375e-06,2.189983021594344e-07,4.003117376192796e-09,2.2660503873339621e-07
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,6.411224603652954e-07,6.187683636303597e-08,7.338821887969971e-07,1.2547935028806024e-07,2.716924466086869e-09,1.2986637898393383e-07
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.0691583156585693e-06,1.3947717716169304e-07,1.341104507446289e-06,2.1510002170543885e-07,3.474613926222207e-09,2.1946409844986192e-07
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,8.746981620788575e-07,1.1921860241275795e-07,1.0728836059570312e-06,1.4053457846330276e-07,4.423494307216957e-09,1.4738904496880423e-07
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.931190490722656e-06,1.8744689456840025e-07,2.2649765014648438e-06,2.9225992363990373e-07,4.700311081945261e-09,2.9844679261259444e-07
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,7.783295586705208e-07,1.1201019595864827e-07,9.08970832824707e-07,1.3563622047740864e-07,4.50555698131835e-09,1.4470181497472367e-07
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.3217329978942872e-06,2.783008779071675e-07,2.0116567611694336e-06,2.005379911906857e-07,3.4867069337099357e-09,2.06663457902323e-07
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,9.253621101379395e-07,1.0816436674570743e-07,1.1324882507324219e-06,2.0260675483996238e-07,5.399102466923072e-09,2.1031080166267202e-07
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.6257166862487792e-06,1.0546190905106363e-07,1.8253922462463379e-06,3.350006636537728e-07,4.634410572835405e-09,3.429755395245593e-07
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,8.821487426757813e-07,3.0369136817114346e-07,1.5497207641601562e-06,9.131233369430447e-08,3.013735945237648e-09,9.759958885524611e-08
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.245737075805664e-06,1.7734260018839647e-07,1.6093254089355469e-06,1.7516535848471905e-07,2.457450003441757e-09,1.780282588015325e-07
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,1.3075768947601318e-06,1.336647448797937e-07,1.5497207641601562e-06,2.552882193640471e-07,1.0724015851211594e-08,2.7466799679132237e-07
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,2.028839662671089e-06,1.1660226511931459e-07,2.294778823852539e-06,4.539142992143752e-07,8.887714216430915e-09,4.6709638468200865e-07
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,8.7738037109375e-06,2.4425980519992252e-06,1.52587890625e-05,2.8002776275570795e-07,1.8535842303468417e-08,3.1611398298991844e-07
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,e3nn_pair_full,2,10,cuda,full,1.220703125e-05,3.6621093750000005e-05,0.0001220703125,1.220703125e-05,4.4486632498514564e-06,1.9073486328125e-05,4.0408768597899325e-07,2.952257819430896e-08,4.421904122864362e-07
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,e3nn_baseline,2,10,cuda,baseline,6.103515625e-06,1.8310546875000003e-05,6.103515625e-05,9.851530194282531e-07,1.266994451744942e-07,1.1883676052093506e-06,1.8383229587470852e-07,4.89295012417476e-09,1.90390068155466e-07
