dataset,sample_id,modal,natoms,case,resolved_policy,n_warmup,n_repeat,device,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,abs_energy_diff_vs_e3nn,max_abs_force_diff_vs_e3nn
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,baseline,3,30,cuda,29.41552786311756,0.3255169685608561,29.36905645765364,30.088130431249738,112.14106475623946,39.99189766357113,0.0,1.3113021850585938e-06
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,full,3,30,cuda,48.49982971791178,0.5412288253716311,48.34370012395084,49.63029060745612,132.49087271591029,50.905036298177286,0.0,1.7434358596801758e-06
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,baseline,3,30,cuda,367.5731080118567,0.1821069569476674,367.540865088813,367.8837420768105,416.1071157238136,31.220451496345717,0.0,2.264976501464844e-06
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,full,3,30,cuda,363.9639908991133,0.4440636057597247,363.89613954816014,364.6951379952952,426.9663170756151,52.55037577156999,0.0,3.814697265625e-06
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,baseline,3,30,cuda,51.85402810263137,0.2367347359179791,51.78694648202509,52.35280345659703,125.71153106788796,46.51883596329374,0.0,1.430511474609375e-06
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,full,3,30,cuda,52.52201345283538,0.3477152109702559,52.49770695809275,53.10371440136805,135.70179999805987,51.634719216387495,0.0,1.8477439880371092e-06
mptrj,mp-1204603,mpa,444,e3nn_baseline,baseline,3,30,cuda,425.6646725659569,0.3006223465604986,425.6100220372901,426.3303145766258,470.74409504421055,29.22553570138038,0.0,1.1026859283447266e-06
mptrj,mp-1204603,mpa,444,e3nn_pair_full,full,3,30,cuda,420.9146104830628,0.2693651100369803,420.9115949925035,421.29731869790703,481.579525085787,51.64269104900101,0.0,1.9371509552001957e-06
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,baseline,3,30,cuda,125.60166181065142,0.4665462073530978,125.46132155694067,126.28634265856816,192.61569762602448,43.10208280809422,0.0,6.556510925292969e-07
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,full,3,30,cuda,119.29129118410248,0.3338407629304628,119.2443900508806,119.88149879034609,194.3683634356906,58.22000159029234,0.0,1.1846423149108889e-06
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,baseline,3,30,cuda,163.5475186010202,0.1890425839660737,163.5162429884076,163.92969843000174,227.79076096291345,41.129951136006255,0.0,5.252659320831299e-07
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,full,3,30,cuda,160.44360146236917,0.2286108274015484,160.41142761241645,160.80982899293303,231.9786703058829,56.91936220147008,0.0,8.456408977508545e-07
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,e3nn_baseline,baseline,3,30,cuda,230.78322334525487,0.1792181838765109,230.75263551436365,231.0987477772869,290.36352240170044,38.20551223717771,0.0,9.313225746154784e-07
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,e3nn_pair_full,full,3,30,cuda,228.03355436772108,1.0648505063164917,227.9079834697768,228.39835546910763,296.9878593770166,55.86495043250447,0.0,2.050772309303284e-06
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,e3nn_baseline,baseline,3,30,cuda,102.78067192994058,0.0828740311225838,102.77083201799542,102.94911456294358,172.0419217211505,44.67791599931182,0.0,8.046627044677734e-07
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,e3nn_pair_full,full,3,30,cuda,95.75792029500008,0.2173644924895275,95.72609898168594,96.05145297246054,171.4119027213504,57.65949655047376,0.0,1.132488250732422e-06
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,e3nn_baseline,baseline,3,30,cuda,174.43182157973447,0.1742197448350435,174.44930889178067,174.70691679045558,239.4033949046085,41.35095149463452,0.0,1.4901161193847656e-06
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,e3nn_pair_full,full,3,30,cuda,171.7482425738126,0.2567472838543212,171.78810900077224,172.09129645489156,243.47081361338496,56.69018366807124,0.0,1.7881393432617188e-06
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,e3nn_baseline,baseline,3,30,cuda,156.1326912837103,0.1047758954303332,156.13253903575242,156.26823579659683,221.2258717045188,41.8101608206324,0.0,4.76837158203125e-07
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,e3nn_pair_full,full,3,30,cuda,152.62578590773046,0.2787471723345727,152.60070643853396,153.05140151176602,225.37866599547365,57.35321959387026,0.0,1.519918441772461e-06
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,baseline,3,30,cuda,216.3140079394604,0.2007492716481148,216.30473947152493,216.69822405092415,277.0326867078741,38.72748855106128,0.0,1.1920928955078125e-06
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,full,3,30,cuda,213.48941132891923,0.287759852707572,213.4192205267027,213.9346698881127,283.3804277082284,56.43029567335502,0.0,2.205371856689453e-06
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,e3nn_baseline,baseline,3,30,cuda,179.1929594706744,0.1553258293675647,179.19846449512988,179.43983894074336,242.91869221876064,40.92711811213871,0.0,1.1444091796875e-05
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,e3nn_pair_full,full,3,30,cuda,176.72175705277672,0.2712429303310487,176.68753652833402,177.10929232416674,248.29005465532344,56.49726765737452,0.0,1.1444091796875e-05
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,e3nn_baseline,baseline,3,30,cuda,280.3158024791628,0.1786821834839828,280.3083179751411,280.6575472932309,335.9304897021502,35.68219183960667,0.0,8.791685104370117e-07
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,e3nn_pair_full,full,3,30,cuda,277.5802220605935,0.3493219908201232,277.6055105496198,278.0650876811705,344.2575477529317,54.30192077383626,0.0,1.914799213409424e-06
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,baseline,3,30,cuda,232.46689754693455,0.162923726304506,232.46026155538857,232.76168857701123,408.1670140537123,176.06649332183795,0.0,0.0001220703125
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,full,3,30,cuda,229.5015106520926,0.3666821990368363,229.52438006177545,230.0486780470237,426.9541136454791,141.08485619419582,0.0,6.103515625e-05
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,baseline,3,30,cuda,293.72996881914634,0.6724393492758822,293.51227544248104,294.5891093928367,348.12077406483394,35.40571115396261,0.0,1.96695327758789e-06
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,full,3,30,cuda,290.5675082700327,0.3064104272474373,290.5799399595708,291.153406444937,357.3131506952147,54.44454908499892,0.0,3.159046173095703e-06
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,baseline,3,30,cuda,150.3228490551313,0.2627154630985818,150.25299706030637,150.8007352007553,217.4662999653568,43.19087131225227,0.0,3.814697265625e-06
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,full,3,30,cuda,146.38800490647554,0.4508493812555202,146.33295813109726,147.25036495365202,219.732173330461,58.38921753836103,0.0,1.52587890625e-05
